source,event_id,tournament,date,home_team,away_team,home_odds,draw_odds,away_odds,bookmakers_count,source_tournament
oddsportal,361372,FIFA World Cup 2010,2010-07-11,Netherlands,Spain,3.92,3.38,2.02,,FIFA World Cup 2010
oddsportal,361373,FIFA World Cup 2010,2010-07-10,Uruguay,Germany,3.85,3.6,1.91,,FIFA World Cup 2010
oddsportal,355650,FIFA World Cup 2010,2010-07-07,Germany,Spain,2.81,3.35,2.54,,FIFA World Cup 2010
oddsportal,355512,FIFA World Cup 2010,2010-07-06,Uruguay,Netherlands,5.6,3.47,1.71,,FIFA World Cup 2010
oddsportal,354836,FIFA World Cup 2010,2010-07-03,Paraguay,Spain,9.25,4.37,1.41,,FIFA World Cup 2010
oddsportal,354683,FIFA World Cup 2010,2010-07-03,Argentina,Germany,2.29,3.27,3.23,,FIFA World Cup 2010
oddsportal,354615,FIFA World Cup 2010,2010-07-02,Uruguay,Ghana,1.89,3.32,4.55,,FIFA World Cup 2010
oddsportal,354749,FIFA World Cup 2010,2010-07-02,Netherlands,Brazil,4.1,3.28,2.02,,FIFA World Cup 2010
oddsportal,354513,FIFA World Cup 2010,2010-06-29,Spain,Portugal,1.97,3.22,4.2,,FIFA World Cup 2010
oddsportal,354407,FIFA World Cup 2010,2010-06-29,Paraguay,Japan,2.16,3.12,3.67,,FIFA World Cup 2010
oddsportal,354512,FIFA World Cup 2010,2010-06-28,Brazil,Chile,1.51,4.02,7.05,,FIFA World Cup 2010
oddsportal,354406,FIFA World Cup 2010,2010-06-28,Netherlands,Slovakia,1.39,4.44,9.13,,FIFA World Cup 2010
oddsportal,339495,FIFA World Cup 2010,2010-06-27,Argentina,Mexico,1.59,3.75,6.53,,FIFA World Cup 2010
oddsportal,339692,FIFA World Cup 2010,2010-06-27,Germany,England,3.02,3.03,2.61,,FIFA World Cup 2010
oddsportal,339691,FIFA World Cup 2010,2010-06-26,United States,Ghana,2.38,3.1,3.23,,FIFA World Cup 2010
oddsportal,339494,FIFA World Cup 2010,2010-06-26,Uruguay,South Korea,1.82,3.33,4.83,,FIFA World Cup 2010
oddsportal,154327,FIFA World Cup 2010,2010-06-25,Chile,Spain,6.75,4.13,1.51,,FIFA World Cup 2010
oddsportal,154326,FIFA World Cup 2010,2010-06-25,Switzerland,Honduras,1.56,3.92,6.42,,FIFA World Cup 2010
oddsportal,154321,FIFA World Cup 2010,2010-06-25,Portugal,Brazil,3.57,2.89,2.35,,FIFA World Cup 2010
oddsportal,154320,FIFA World Cup 2010,2010-06-25,North Korea,Ivory Coast,10.0,4.86,1.34,,FIFA World Cup 2010
oddsportal,154309,FIFA World Cup 2010,2010-06-24,Cameroon,Netherlands,5.45,3.72,1.66,,FIFA World Cup 2010
oddsportal,154308,FIFA World Cup 2010,2010-06-24,Denmark,Japan,2.23,3.23,3.38,,FIFA World Cup 2010
oddsportal,154314,FIFA World Cup 2010,2010-06-24,Slovakia,Italy,6.8,3.78,1.56,,FIFA World Cup 2010
oddsportal,154315,FIFA World Cup 2010,2010-06-24,Paraguay,New Zealand,1.4,4.23,9.5,,FIFA World Cup 2010
oddsportal,154300,FIFA World Cup 2010,2010-06-23,Australia,Serbia,4.46,3.57,1.82,,FIFA World Cup 2010
oddsportal,154299,FIFA World Cup 2010,2010-06-23,Ghana,Germany,7.67,4.37,1.44,,FIFA World Cup 2010
oddsportal,154291,FIFA World Cup 2010,2010-06-23,United States,Algeria,1.87,3.5,4.28,,FIFA World Cup 2010
oddsportal,154289,FIFA World Cup 2010,2010-06-23,Slovenia,England,8.17,4.37,1.43,,FIFA World Cup 2010
oddsportal,154280,FIFA World Cup 2010,2010-06-22,Greece,Argentina,7.78,4.11,1.46,,FIFA World Cup 2010
oddsportal,154279,FIFA World Cup 2010,2010-06-22,Nigeria,South Korea,2.96,3.32,2.43,,FIFA World Cup 2010
oddsportal,154271,FIFA World Cup 2010,2010-06-22,France,South Africa,2.13,3.38,3.43,,FIFA World Cup 2010
