tournament,round,date,home_team,away_team,predicted_score,actual_score,predicted_outcome,actual_outcome,exact_correct,toto_correct,scorito_match_points,max_exact_points,home_xg,away_xg,model_home_score,model_away_score,actual_home_score,actual_away_score,model_predicted_score,model_predicted_outcome,model_exact_correct,model_toto_correct,model_scorito_points,odds_source,odds_event_id,odds_date,odds_home_team,odds_away_team,odds_swapped,home_odds,draw_odds,away_odds,bookmakers_count,odds_date_diff_days,has_market_odds,market_home_implied,market_draw_implied,market_away_implied,market_overround,market_home_score,market_away_score,market_favorite_outcome,market_predicted_score,market_predicted_outcome,market_exact_correct,market_toto_correct,market_scorito_points,common_home_score,common_away_score,common_predicted_score,common_predicted_outcome,common_exact_correct,common_toto_correct,common_scorito_points
FIFA World Cup 2010,Round of 16,2010-06-26,Uruguay,South Korea,1-0,2-1,home_win,home_win,False,True,90,135,1.709,0.926,1,0,2,1,1-0,home_win,False,True,90,oddsportal,339494.0,2010-06-26,Uruguay,South Korea,False,1.82,3.33,4.83,,0.0,True,0.5199239698594801,0.2841626501934696,0.19591337994705046,1.0567901872249696,1,0,home_win,1-0,home_win,False,True,90,1,0,1-0,home_win,False,True,90
FIFA World Cup 2010,Round of 16,2010-06-26,United States,Ghana,1-0,1-2,home_win,away_win,False,False,0,135,1.176,0.909,1,0,1,2,1-0,home_win,False,False,0,oddsportal,339691.0,2010-06-26,United States,Ghana,False,2.38,3.1,3.23,,0.0,True,0.39926789587852496,0.3065347071583514,0.29419739696312364,1.0523462356079953,1,0,home_win,1-0,home_win,False,False,0,1,0,1-0,home_win,False,False,0
FIFA World Cup 2010,Round of 16,2010-06-27,Germany,England,1-0,4-1,home_win,home_win,False,True,90,135,1.292,0.642,1,0,4,1,1-0,home_win,False,True,90,oddsportal,339692.0,2010-06-27,Germany,England,False,3.02,3.03,2.61,,0.0,True,0.31707903821403227,0.3160325727413787,0.36688838904458904,1.0443005935670069,0,1,away_win,0-1,away_win,False,False,0,1,0,1-0,home_win,False,True,90
FIFA World Cup 2010,Round of 16,2010-06-27,Argentina,Mexico,1-0,3-1,home_win,home_win,False,True,90,135,1.759,0.726,1,0,3,1,1-0,home_win,False,True,90,oddsportal,339495.0,2010-06-27,Argentina,Mexico,False,1.59,3.75,6.53,,0.0,True,0.599703179069716,0.25427414792555963,0.14602267300472413,1.048736841091431,1,0,home_win,1-0,home_win,False,True,90,1,0,1-0,home_win,False,True,90
FIFA World Cup 2010,Round of 16,2010-06-28,Netherlands,Slovakia,1-0,2-1,home_win,home_win,False,True,90,135,1.759,0.876,1,0,2,1,1-0,home_win,False,True,90,oddsportal,354406.0,2010-06-28,Netherlands,Slovakia,False,1.39,4.44,9.13,,0.0,True,0.6824501889746546,0.21364994654837155,0.10389986447697369,1.0541787108485559,1,0,home_win,1-0,home_win,False,True,90,1,0,1-0,home_win,False,True,90
FIFA World Cup 2010,Round of 16,2010-06-28,Brazil,Chile,1-0,3-0,home_win,home_win,False,True,90,135,1.359,0.926,1,0,3,0,1-0,home_win,False,True,90,oddsportal,354512.0,2010-06-28,Brazil,Chile,False,1.51,4.02,7.05,,0.0,True,0.6290074506122286,0.23626896776727993,0.13472358162049153,1.0528518461658174,1,0,home_win,1-0,home_win,False,True,90,1,0,1-0,home_win,False,True,90
FIFA World Cup 2010,Round of 16,2010-06-29,Paraguay,Japan,0-1,0-0,away_win,draw,False,False,0,135,0.992,1.042,0,1,0,0,0-1,away_win,False,False,0,oddsportal,354407.0,2010-06-29,Paraguay,Japan,False,2.16,3.12,3.67,,0.0,True,0.4384304355816945,0.30352876309501925,0.25804080132328616,1.055955347508481,1,0,home_win,1-0,home_win,False,False,0,1,0,1-0,home_win,False,False,0
FIFA World Cup 2010,Round of 16,2010-06-29,Spain,Portugal,0-1,1-0,away_win,home_win,False,False,0,135,0.776,1.759,0,1,1,0,0-1,away_win,False,False,0,oddsportal,354513.0,2010-06-29,Spain,Portugal,False,1.97,3.22,4.2,,0.0,True,0.48057310581563106,0.2940152231232277,0.22541167106114124,1.0562684575043877,1,0,home_win,1-0,home_win,True,True,135,1,0,1-0,home_win,True,True,135
FIFA World Cup 2010,Quarter-finals,2010-07-02,Netherlands,Brazil,1-1,2-1,draw,home_win,False,False,0,180,1.326,1.159,1,1,2,1,1-1,draw,False,False,0,oddsportal,354749.0,2010-07-02,Netherlands,Brazil,False,4.1,3.28,2.02,,0.0,True,0.23366107576633893,0.29207634470792365,0.4742625795257374,1.0438299927553731,0,1,away_win,0-1,away_win,False,False,0,1,0,1-0,home_win,False,True,120
FIFA World Cup 2010,Quarter-finals,2010-07-02,Uruguay,Ghana,1-0,1-1,home_win,draw,False,False,0,180,1.276,0.509,1,0,1,1,1-0,home_win,False,False,0,oddsportal,354615.0,2010-07-02,Uruguay,Ghana,False,1.89,3.32,4.55,,0.0,True,0.5038642041607323,0.28683835718788675,0.20929743865138106,1.0500855681578574,1,0,home_win,1-0,home_win,False,False,0,1,0,1-0,home_win,False,False,0
