round,date,match_no,home_slot,away_slot,manual_home_team,manual_away_team,actual_home_score,actual_away_score,actual_winner,notes
Round of 32,2026-06-28,73,South Africa,Canada,South Africa,Canada,,,,
Round of 32,2026-06-29,76,Brazil,Japan,Brazil,Japan,,,,
Round of 32,2026-06-29,74,Germany,Paraguay,Germany,Paraguay,,,,
Round of 32,2026-06-30,75,Netherlands,Morocco,Netherlands,Morocco,,,,
Round of 32,2026-06-30,78,Ivory Coast,Norway,Ivory Coast,Norway,,,,
Round of 32,2026-06-30,77,France,Sweden,France,Sweden,,,,
Round of 32,2026-07-01,79,Mexico,Ecuador,Mexico,Ecuador,,,,
Round of 32,2026-07-01,80,England,DR Congo,England,DR Congo,,,,
Round of 32,2026-07-01,82,Belgium,Senegal,Belgium,Senegal,,,,
Round of 32,2026-07-02,81,United States,Bosnia and Herzegovina,United States,Bosnia and Herzegovina,,,,
Round of 32,2026-07-02,84,Spain,Austria,Spain,Austria,,,,
Round of 32,2026-07-02,83,Portugal,Croatia,Portugal,Croatia,,,,
Round of 32,2026-07-03,85,Switzerland,Algeria,Switzerland,Algeria,,,,
Round of 32,2026-07-03,88,Australia,Egypt,Australia,Egypt,,,,
Round of 32,2026-07-03,86,Argentina,Cape Verde,Argentina,Cape Verde,,,,
Round of 32,2026-07-04,87,Colombia,Ghana,Colombia,Ghana,,,,
Round of 16,2026-07-04,90,Winner Match 73,Winner Match 75,,,,,,
Round of 16,2026-07-04,89,Winner Match 74,Winner Match 77,,,,,,
Round of 16,2026-07-05,91,Winner Match 76,Winner Match 78,,,,,,
Round of 16,2026-07-06,92,Winner Match 79,Winner Match 80,,,,,,
Round of 16,2026-07-06,93,Winner Match 83,Winner Match 84,,,,,,
Round of 16,2026-07-07,94,Winner Match 81,Winner Match 82,,,,,,
Round of 16,2026-07-07,95,Winner Match 86,Winner Match 88,,,,,,
Round of 16,2026-07-07,96,Winner Match 85,Winner Match 87,,,,,,
Quarterfinals,2026-07-09,97,Winner Match 89,Winner Match 90,,,,,,
Quarterfinals,2026-07-10,98,Winner Match 93,Winner Match 94,,,,,,
Quarterfinals,2026-07-11,99,Winner Match 91,Winner Match 92,,,,,,
Quarterfinals,2026-07-12,100,Winner Match 95,Winner Match 96,,,,,,
Semifinals,2026-07-14,101,Winner Match 97,Winner Match 98,,,,,,
Semifinals,2026-07-15,102,Winner Match 99,Winner Match 100,,,,,,
Match for third place,2026-07-18,103,Loser Match 101,Loser Match 102,,,,,,
Final,2026-07-19,104,Winner Match 101,Winner Match 102,,,,,,
