date,group,match_no,home_team,away_team,actual_home_score,actual_away_score,predicted_home_score,predicted_away_score,predicted_outcome,actual_outcome,outcome_correct,exact_score_correct,outcome_probability,home_xg,away_xg,elo_diff,score_model,score_model_detail,within_one_goal_correct,home_goal_error,away_goal_error,scoreline_absolute_error,elo_poisson_predicted_home_score,elo_poisson_predicted_away_score,elo_poisson_predicted_outcome,elo_poisson_model_detail,training_cutoff,training_data_through,training_scope
2026-06-11 19:00:00,Group A,1,Mexico,South Africa,2.0,0.0,1,0,home_win,home_win,True,False,,1.761,1.073,160.92,exact_score_tree_fallback,Elo/Poisson fallback; no prior scorelines,True,1.0,0.0,1.0,1,0,home_win,Historical Elo/Poisson fallback; no prior tournament results,2026-06-11,,before_match_date
2026-06-12 02:00:00,Group A,2,South Korea,Czech Republic,2.0,1.0,1,0,home_win,home_win,True,False,,1.582,1.195,91.11,exact_score_tree_fallback,Elo/Poisson fallback; no prior scorelines,True,1.0,1.0,2.0,1,0,home_win,Historical Elo/Poisson fallback; no prior tournament results,2026-06-11,,before_match_date
2026-06-12 19:00:00,Group B,7,Canada,Bosnia and Herzegovina,1.0,1.0,2,1,home_win,draw,False,False,1.0,1.752,1.079,157.47,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",True,1.0,0.0,1.0,1,0,home_win,"Tournament-calibrated Elo/Poisson (depth=1, leaf=4)",2026-06-12,2026-06-11,before_match_date
2026-06-13 01:00:00,Group D,19,United States,Paraguay,4.0,1.0,2,1,home_win,home_win,True,False,1.0,1.658,1.14,121.79,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",False,2.0,0.0,2.0,1,0,home_win,"Tournament-calibrated Elo/Poisson (depth=1, leaf=4)",2026-06-12,2026-06-11,before_match_date
2026-06-13 19:00:00,Group B,8,Qatar,Switzerland,1.0,1.0,1,1,draw,draw,True,True,0.75,1.155,1.637,-113.49,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",True,0.0,0.0,0.0,1,1,draw,"Tournament-calibrated Elo/Poisson (depth=1, leaf=2)",2026-06-13,2026-06-12,before_match_date
2026-06-13 22:00:00,Group C,13,Brazil,Morocco,1.0,1.0,1,0,home_win,draw,False,False,1.0,1.633,1.157,111.97,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",True,0.0,1.0,1.0,1,0,home_win,"Tournament-calibrated Elo/Poisson (depth=1, leaf=2)",2026-06-13,2026-06-12,before_match_date
2026-06-14 01:00:00,Group C,14,Haiti,Scotland,0.0,1.0,1,1,draw,away_win,False,False,0.75,1.32,1.433,-26.7,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",True,1.0,0.0,1.0,1,1,draw,"Tournament-calibrated Elo/Poisson (depth=1, leaf=2)",2026-06-13,2026-06-12,before_match_date
2026-06-14 04:00:00,Group D,20,Australia,Turkey,2.0,0.0,1,0,home_win,home_win,True,False,1.0,1.48,1.277,47.98,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",True,1.0,0.0,1.0,1,0,home_win,"Tournament-calibrated Elo/Poisson (depth=1, leaf=2)",2026-06-13,2026-06-12,before_match_date
2026-06-14 17:00:00,Group E,25,Germany,Curaçao,7.0,1.0,2,0,home_win,home_win,True,False,1.0,2.169,0.872,296.28,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",False,5.0,1.0,6.0,2,0,home_win,"Tournament-calibrated Elo/Poisson (depth=2, leaf=2)",2026-06-14,2026-06-13,before_match_date
2026-06-14 20:00:00,Group F,31,Netherlands,Japan,2.0,2.0,1,1,draw,draw,True,False,1.0,1.389,1.361,6.43,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",True,1.0,1.0,2.0,1,1,draw,"Tournament-calibrated Elo/Poisson (depth=2, leaf=2)",2026-06-14,2026-06-13,before_match_date
