date,group,match_no,home_team,away_team,actual_home_score,actual_away_score,predicted_home_score,predicted_away_score,predicted_outcome,actual_outcome,outcome_correct,exact_score_correct,outcome_probability,home_xg,away_xg,elo_diff,score_model,score_model_detail,within_one_goal_correct,home_goal_error,away_goal_error,scoreline_absolute_error,elo_poisson_predicted_home_score,elo_poisson_predicted_away_score,elo_poisson_predicted_outcome,elo_poisson_model_detail,training_cutoff,training_data_through,training_scope
2026-06-22 17:00:00,Group J,43,Argentina,Austria,,,3,0,home_win,,,,0.6499999999999997,1.902,0.994,211.03,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",,,,,1,0,home_win,"Tournament-calibrated Elo/Poisson (depth=2, leaf=4)",2026-06-22,2026-06-21,before_match_date
2026-06-22 21:00:00,Group I,42,France,Iraq,,,2,0,home_win,,,,0.6499999999999997,2.103,0.899,276.04,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",,,,,2,0,home_win,"Tournament-calibrated Elo/Poisson (depth=2, leaf=4)",2026-06-22,2026-06-21,before_match_date
2026-06-23 00:00:00,Group I,41,Norway,Senegal,,,1,0,home_win,,,,0.6499999999999997,1.397,1.353,10.48,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",,,,,1,0,home_win,"Tournament-calibrated Elo/Poisson (depth=2, leaf=4)",2026-06-22,2026-06-21,before_match_date
2026-06-23 03:00:00,Group J,44,Jordan,Algeria,,,0,1,away_win,,,,0.65,1.145,1.651,-118.96,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",,,,,0,1,away_win,"Tournament-calibrated Elo/Poisson (depth=2, leaf=4)",2026-06-22,2026-06-21,before_match_date
2026-06-23 17:00:00,Group K,47,Portugal,Uzbekistan,,,2,0,home_win,,,,0.6499999999999997,1.744,1.084,154.45,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",,,,,1,0,home_win,"Tournament-calibrated Elo/Poisson (depth=2, leaf=4)",2026-06-23,2026-06-21,before_match_date
2026-06-23 20:00:00,Group L,45,England,Ghana,,,2,0,home_win,,,,0.6499999999999997,1.904,0.993,211.41,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",,,,,1,0,home_win,"Tournament-calibrated Elo/Poisson (depth=2, leaf=4)",2026-06-23,2026-06-21,before_match_date
2026-06-23 23:00:00,Group L,46,Panama,Croatia,,,0,1,away_win,,,,1.0,1.162,1.627,-109.49,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",,,,,0,1,away_win,"Tournament-calibrated Elo/Poisson (depth=2, leaf=4)",2026-06-23,2026-06-21,before_match_date
2026-06-24 02:00:00,Group K,48,Colombia,DR Congo,,,2,0,home_win,,,,0.6499999999999997,1.872,1.01,200.46,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",,,,,1,0,home_win,"Tournament-calibrated Elo/Poisson (depth=2, leaf=4)",2026-06-23,2026-06-21,before_match_date
2026-06-24 19:00:00,Group B,51,Switzerland,Canada,,,1,0,home_win,,,,0.6499999999999997,1.426,1.326,23.49,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",,,,,1,0,home_win,"Tournament-calibrated Elo/Poisson (depth=2, leaf=4)",2026-06-24,2026-06-21,before_match_date
2026-06-24 19:00:00,Group B,52,Bosnia and Herzegovina,Qatar,,,0,1,away_win,,,,0.65,1.298,1.457,-37.63,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",,,,,0,1,away_win,"Tournament-calibrated Elo/Poisson (depth=2, leaf=4)",2026-06-24,2026-06-21,before_match_date
2026-06-24 22:00:00,Group C,49,Scotland,Brazil,,,0,2,away_win,,,,1.0,0.896,2.111,-278.59,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",,,,,0,2,away_win,"Tournament-calibrated Elo/Poisson (depth=2, leaf=4)",2026-06-24,2026-06-21,before_match_date
2026-06-24 22:00:00,Group C,50,Morocco,Haiti,,,2,0,home_win,,,,0.6499999999999997,2.039,0.927,256.21,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",,,,,2,0,home_win,"Tournament-calibrated Elo/Poisson (depth=2, leaf=4)",2026-06-24,2026-06-21,before_match_date
2026-06-25 01:00:00,Group A,53,Czech Republic,Mexico,,,0,1,away_win,,,,1.0,1.047,1.806,-177.07,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",,,,,0,1,away_win,"Tournament-calibrated Elo/Poisson (depth=2, leaf=4)",2026-06-24,2026-06-21,before_match_date
2026-06-25 01:00:00,Group A,54,South Africa,South Korea,,,0,1,away_win,,,,1.0,1.179,1.604,-100.1,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",,,,,0,1,away_win,"Tournament-calibrated Elo/Poisson (depth=2, leaf=4)",2026-06-24,2026-06-21,before_match_date
2026-06-25 20:00:00,Group E,55,Curaçao,Ivory Coast,,,0,1,away_win,,,,0.65,1.081,1.748,-156.19,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",,,,,0,1,away_win,"Tournament-calibrated Elo/Poisson (depth=2, leaf=4)",2026-06-25,2026-06-21,before_match_date
2026-06-25 20:00:00,Group E,56,Ecuador,Germany,,,0,1,away_win,,,,1.0,0.995,1.901,-210.51,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",,,,,0,1,away_win,"Tournament-calibrated Elo/Poisson (depth=2, leaf=4)",2026-06-25,2026-06-21,before_match_date
2026-06-25 23:00:00,Group F,57,Japan,Sweden,,,2,0,home_win,,,,0.6499999999999997,1.909,0.99,213.31,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",,,,,1,0,home_win,"Tournament-calibrated Elo/Poisson (depth=2, leaf=4)",2026-06-25,2026-06-21,before_match_date
2026-06-25 23:00:00,Group F,58,Tunisia,Netherlands,,,0,2,away_win,,,,1.0,0.856,2.209,-308.05,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",,,,,0,2,away_win,"Tournament-calibrated Elo/Poisson (depth=2, leaf=4)",2026-06-25,2026-06-21,before_match_date
2026-06-26 02:00:00,Group D,59,Turkey,United States,,,1,3,away_win,,,,1.0,0.985,1.92,-216.88,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",,,,,0,1,away_win,"Tournament-calibrated Elo/Poisson (depth=2, leaf=4)",2026-06-25,2026-06-21,before_match_date
2026-06-26 02:00:00,Group D,60,Paraguay,Australia,,,1,0,home_win,,,,0.6499999999999997,1.33,1.421,-21.54,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",,,,,1,0,home_win,"Tournament-calibrated Elo/Poisson (depth=2, leaf=4)",2026-06-25,2026-06-21,before_match_date
2026-06-26 19:00:00,Group I,61,Norway,France,,,0,1,away_win,,,,1.0,1.068,1.771,-164.46,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",,,,,0,1,away_win,"Tournament-calibrated Elo/Poisson (depth=2, leaf=4)",2026-06-26,2026-06-21,before_match_date
2026-06-26 19:00:00,Group I,62,Senegal,Iraq,,,2,0,home_win,,,,0.6499999999999997,1.606,1.177,101.1,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",,,,,1,0,home_win,"Tournament-calibrated Elo/Poisson (depth=2, leaf=4)",2026-06-26,2026-06-21,before_match_date
2026-06-27 00:00:00,Group H,65,Cape Verde,Saudi Arabia,,,1,0,home_win,,,,0.6499999999999997,1.469,1.287,43.09,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",,,,,1,0,home_win,"Tournament-calibrated Elo/Poisson (depth=2, leaf=4)",2026-06-26,2026-06-21,before_match_date
2026-06-27 00:00:00,Group H,66,Uruguay,Spain,,,0,1,away_win,,,,1.0,1.013,1.866,-198.37,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",,,,,0,1,away_win,"Tournament-calibrated Elo/Poisson (depth=2, leaf=4)",2026-06-26,2026-06-21,before_match_date
2026-06-27 03:00:00,Group G,63,Egypt,Iran,,,1,1,draw,,,,1.0,1.389,1.361,6.66,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",,,,,1,1,draw,"Tournament-calibrated Elo/Poisson (depth=2, leaf=4)",2026-06-26,2026-06-21,before_match_date
2026-06-27 03:00:00,Group G,64,New Zealand,Belgium,,,1,3,away_win,,,,1.0,1.007,1.877,-202.35,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",,,,,0,1,away_win,"Tournament-calibrated Elo/Poisson (depth=2, leaf=4)",2026-06-26,2026-06-21,before_match_date
2026-06-27 21:00:00,Group L,67,Panama,England,,,1,3,away_win,,,,1.0,0.921,2.054,-260.75,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",,,,,0,2,away_win,"Tournament-calibrated Elo/Poisson (depth=2, leaf=4)",2026-06-27,2026-06-21,before_match_date
