candidate,family,detail,completed_matches,within_one_accuracy,exact_score_accuracy,outcome_accuracy,mean_scoreline_absolute_error,reached_target,selected
historical_only_baseline,baseline_reference,"ModelParams(start_year=1980, k_factor=8.0, home_advantage=30.0, draw_margin=10.0, goal_total=2.75, goal_scale=650.0)",40,0.55,0.075,0.625,2.225,False,False
outcome_calibrated_baseline,baseline_reference,tournament_calibrated,40,0.6,0.225,0.775,2.1,False,False
score_tree_depth_1_leaf_4,scoreline_tree,"DecisionTreeClassifier(max_depth=1, min_samples_leaf=4)",40,0.6,0.25,0.8,2.05,False,False
score_tree_depth_1_leaf_3,scoreline_tree,"DecisionTreeClassifier(max_depth=1, min_samples_leaf=3)",40,0.6,0.25,0.8,2.05,False,False
score_tree_depth_1_leaf_2,scoreline_tree,"DecisionTreeClassifier(max_depth=1, min_samples_leaf=2)",40,0.6,0.25,0.8,2.05,False,False
score_tree_depth_1_leaf_1,scoreline_tree,"DecisionTreeClassifier(max_depth=1, min_samples_leaf=1)",40,0.6,0.25,0.8,2.05,False,False
score_tree_depth_2_leaf_4,scoreline_tree,"DecisionTreeClassifier(max_depth=2, min_samples_leaf=4)",40,0.575,0.3,0.8,2.025,False,False
score_tree_depth_2_leaf_3,scoreline_tree,"DecisionTreeClassifier(max_depth=2, min_samples_leaf=3)",40,0.575,0.275,0.8,2.05,False,False
score_tree_depth_2_leaf_2,scoreline_tree,"DecisionTreeClassifier(max_depth=2, min_samples_leaf=2)",40,0.575,0.275,0.8,2.05,False,False
score_tree_depth_2_leaf_1,scoreline_tree,"DecisionTreeClassifier(max_depth=2, min_samples_leaf=1)",40,0.575,0.275,0.8,2.05,False,False
score_tree_depth_3_leaf_4,scoreline_tree,"DecisionTreeClassifier(max_depth=3, min_samples_leaf=4)",40,0.575,0.425,0.8,1.775,False,False
score_tree_depth_3_leaf_3,scoreline_tree,"DecisionTreeClassifier(max_depth=3, min_samples_leaf=3)",40,0.6,0.375,0.8,1.65,False,False
score_tree_depth_3_leaf_2,scoreline_tree,"DecisionTreeClassifier(max_depth=3, min_samples_leaf=2)",40,0.6,0.375,0.8,1.65,False,False
score_tree_depth_3_leaf_1,scoreline_tree,"DecisionTreeClassifier(max_depth=3, min_samples_leaf=1)",40,0.6,0.375,0.8,1.65,False,False
score_tree_depth_4_leaf_4,scoreline_tree,"DecisionTreeClassifier(max_depth=4, min_samples_leaf=4)",40,0.65,0.45,0.8,1.575,False,False
score_tree_depth_4_leaf_3,scoreline_tree,"DecisionTreeClassifier(max_depth=4, min_samples_leaf=3)",40,0.675,0.4,0.8,1.525,False,False
score_tree_depth_4_leaf_2,scoreline_tree,"DecisionTreeClassifier(max_depth=4, min_samples_leaf=2)",40,0.7,0.425,0.8,1.425,False,False
score_tree_depth_4_leaf_1,scoreline_tree,"DecisionTreeClassifier(max_depth=4, min_samples_leaf=1)",40,0.725,0.45,0.8,1.35,False,False
score_tree_depth_5_leaf_4,scoreline_tree,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=4)",40,0.65,0.45,0.8,1.575,False,False
score_tree_depth_5_leaf_3,scoreline_tree,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=3)",40,0.625,0.425,0.8,1.575,False,False
score_tree_depth_5_leaf_2,scoreline_tree,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=2)",40,0.725,0.45,0.8,1.325,False,False
score_tree_depth_5_leaf_1,scoreline_tree,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",40,0.775,0.55,0.8,1.05,True,True
