team,group,played,wins,draws,losses,goals_for,goals_against,actual_matches,projected_matches,points,goal_difference,form_adjusted_elo,position,third_place_rank
Mexico,Group A,3,3,0,0,7,1,2,1,9,6,1802.58,1,
South Korea,Group A,3,2,0,1,3,2,2,1,6,1,1709.28,2,
South Africa,Group A,3,0,1,2,1,4,2,1,1,-3,1610.68,3,12.0
Czech Republic,Group A,3,0,1,2,3,7,2,1,1,-4,1627.14,4,
Switzerland,Group B,3,2,1,0,6,2,2,1,7,4,1730.75,1,
Canada,Group B,3,1,1,1,7,2,2,1,4,5,1707.25,2,
Qatar,Group B,3,1,1,1,2,7,2,1,4,-5,1552.97,3,2.0
Bosnia and Herzegovina,Group B,3,0,1,2,2,6,2,1,1,-4,1515.34,4,
Brazil,Group C,3,2,1,0,6,1,2,1,7,5,1880.66,1,
Morocco,Group C,3,2,1,0,4,1,2,1,7,3,1789.03,2,
Scotland,Group C,3,1,0,2,1,3,2,1,3,-2,1602.07,3,9.0
Haiti,Group C,3,0,0,3,0,6,2,1,0,-6,1532.81,4,
United States,Group D,3,3,0,0,7,1,2,1,9,6,1796.9,1,
Paraguay,Group D,3,2,0,1,3,4,2,1,6,-1,1661.17,2,
Australia,Group D,3,1,0,2,2,3,2,1,3,-1,1688.09,3,5.0
Turkey,Group D,3,0,0,3,0,4,2,1,0,-4,1591.52,4,
Germany,Group E,3,3,0,0,10,2,2,1,9,8,1849.96,1,
Ivory Coast,Group E,3,2,0,1,3,2,2,1,6,1,1688.64,2,
Ecuador,Group E,3,0,1,2,0,2,2,1,1,-2,1639.45,3,11.0
Curaçao,Group E,3,0,1,2,1,8,2,1,1,-7,1532.45,4,
Netherlands,Group F,3,2,1,0,9,3,2,1,7,6,1847.43,1,
Japan,Group F,3,2,1,0,8,2,2,1,7,6,1844.5,2,
Sweden,Group F,3,1,0,2,6,8,2,1,3,-2,1633.94,3,6.0
Tunisia,Group F,3,0,0,3,1,11,2,1,0,-10,1553.07,4,
Egypt,Group G,3,1,2,0,6,4,2,1,5,2,1759.74,1,
Belgium,Group G,3,1,2,0,2,1,2,1,5,1,1762.25,2,
Iran,Group G,3,0,3,0,4,4,2,1,3,0,1753.08,3,3.0
New Zealand,Group G,3,0,1,2,3,6,2,1,1,-3,1559.9,4,
Spain,Group H,3,2,1,0,5,0,2,1,7,5,1888.14,1,
Cape Verde,Group H,3,1,2,0,3,2,2,1,5,1,1633.21,2,
Uruguay,Group H,3,0,2,1,3,4,2,1,2,-1,1689.76,3,10.0
Saudi Arabia,Group H,3,0,1,2,1,6,2,1,1,-5,1590.13,4,
France,Group I,3,3,0,0,9,2,1,2,9,7,1870.8,1,
Norway,Group I,3,2,0,1,6,5,1,2,6,1,1706.34,2,
Senegal,Group I,3,1,0,2,3,4,1,2,3,-1,1695.86,3,4.0
Iraq,Group I,3,0,0,3,1,8,1,2,0,-7,1594.76,4,
Argentina,Group J,3,3,0,0,8,0,1,2,9,8,1906.71,1,
Algeria,Group J,3,2,0,1,2,3,1,2,6,-1,1690.86,2,
Austria,Group J,3,1,0,2,3,5,1,2,3,-2,1690.97,3,7.0
Jordan,Group J,3,0,0,3,1,6,1,2,0,-5,1576.87,4,
Colombia,Group K,3,2,1,0,7,3,1,2,7,4,1813.79,1,
Portugal,Group K,3,1,2,0,5,3,1,2,5,2,1780.32,2,
DR Congo,Group K,3,1,1,1,2,3,1,2,4,-1,1617.6,3,1.0
Uzbekistan,Group K,3,0,0,3,1,6,1,2,0,-5,1630.4,4,
England,Group L,3,3,0,0,8,2,1,2,9,6,1853.12,1,
Croatia,Group L,3,2,0,1,4,4,1,2,6,0,1701.86,2,
Ghana,Group L,3,1,0,2,1,3,1,2,3,-2,1641.71,3,8.0
Panama,Group L,3,0,0,3,0,4,1,2,0,-4,1592.37,4,
