tournament,round,player,player_url,team,opponent,scorito_position,raw_position,position_known,group_goals,group_goal_matches,player_goal_share,carryover_boost,team_xg,expected_round_goals,points_per_goal,expected_round_points,pure_points_rank,differential_score,pick_rank,pick_style,actual_goals,actual_points
FIFA World Cup 2010,Round of 16,Lee Jung-soo,https://en.wikipedia.org/wiki/Lee_Jung-soo,South Korea,Uruguay,Keeper / Verdediger,Centre-back,True,2,2,0.3057142857142857,1.6368073499856448,0.926,0.5097027441040156,96,48.9314634339855,1,68.5040488075797,1,core_expected_points,0,0.0
FIFA World Cup 2010,Round of 16,Elano,https://en.wikipedia.org/wiki/Elano,Brazil,Chile,Middenvelder,Attacking midfielder,True,2,2,0.33428571428571424,1.6368073499856448,1.359,0.8179514485049835,48,39.26166952823921,2,45.15091995747509,2,core_expected_points,0,0.0
FIFA World Cup 2010,Round of 16,Keisuke Honda,https://en.wikipedia.org/wiki/Keisuke_Honda,Japan,Paraguay,Middenvelder,Attacking midfielder,True,2,2,0.38999999999999996,1.6368073499856448,1.042,0.731682347975883,48,35.12075270284239,3,40.388865608268745,3,core_expected_points,0,0.0
FIFA World Cup 2010,Round of 16,Álvaro Pereira,https://en.wikipedia.org/wiki/%C3%81lvaro_Pereira,Uruguay,South Korea,Keeper / Verdediger,Wing-back,True,1,1,0.19000000000000003,0.8703783088629299,1.709,0.282620540670882,96,27.131571904404673,4,37.98420066616654,4,core_expected_points,0,0.0
FIFA World Cup 2010,Quarter-finals,Elano,https://en.wikipedia.org/wiki/Elano,Brazil,Netherlands,Middenvelder,Attacking midfielder,True,2,2,0.33428571428571424,1.6368073499856448,1.159,0.6975759593946107,64,44.644861401255085,1,51.341590611443344,1,core_expected_points,0,0.0
FIFA World Cup 2010,Quarter-finals,Álvaro Pereira,https://en.wikipedia.org/wiki/%C3%81lvaro_Pereira,Uruguay,Ghana,Keeper / Verdediger,Wing-back,True,1,1,0.19000000000000003,0.8703783088629299,1.276,0.21101451720072875,128,27.00985820169328,2,37.81380148237059,2,core_expected_points,0,0.0
FIFA World Cup 2010,Quarter-finals,David Villa,https://en.wikipedia.org/wiki/David_Villa,Spain,Paraguay,Aanvaller,Striker,True,2,2,0.4266666666666667,1.6368073499856448,1.042,0.8004729960761798,32,25.615135874437755,3,24.334379080715866,3,core_expected_points,1,32.0
FIFA World Cup 2010,Quarter-finals,Antolín Alcaraz,https://en.wikipedia.org/wiki/Antol%C3%ADn_Alcaraz,Paraguay,Spain,Keeper / Verdediger,Centre-back,True,1,1,0.22800000000000004,0.8703783088629299,0.992,0.19685868438538207,128,25.197911601328904,4,35.27707624186046,4,core_expected_points,0,0.0
FIFA World Cup 2010,Semi-finals,David Villa,https://en.wikipedia.org/wiki/David_Villa,Spain,Germany,Aanvaller,Striker,True,2,2,0.4266666666666667,1.6368073499856448,0.976,0.7497712516030244,40,29.990850064120977,1,28.491307560914926,1,core_expected_points,0,0.0
FIFA World Cup 2010,Semi-finals,Álvaro Pereira,https://en.wikipedia.org/wiki/%C3%81lvaro_Pereira,Uruguay,Netherlands,Keeper / Verdediger,Wing-back,True,1,1,0.19000000000000003,0.8703783088629299,1.042,0.1723174975886829,160,27.570799614189262,2,38.599119459864966,2,core_expected_points,0,0.0
FIFA World Cup 2010,Semi-finals,Mesut Özil,https://en.wikipedia.org/wiki/Mesut_%C3%96zil,Germany,Spain,Middenvelder,Attacking midfielder,True,1,1,0.19142857142857145,0.8703783088629299,1.359,0.22643016044827532,80,18.114412835862026,3,20.831574761241328,3,core_expected_points,0,0.0
FIFA World Cup 2010,Semi-finals,Andrés Iniesta,https://en.wikipedia.org/wiki/Andr%C3%A9s_Iniesta,Spain,Germany,Middenvelder,Midfielder,True,1,1,0.22333333333333336,0.8703783088629299,0.976,0.1897192612438824,80,15.177540899510591,4,17.45417203443718,4,core_expected_points,0,0.0
FIFA World Cup 2010,Match for third place,Álvaro Pereira,https://en.wikipedia.org/wiki/%C3%81lvaro_Pereira,Uruguay,Germany,Keeper / Verdediger,Wing-back,True,1,1,0.19000000000000003,0.8703783088629299,1.042,0.1723174975886829,192,33.08495953702712,1,46.31894335183796,1,core_expected_points,0,0.0
FIFA World Cup 2010,Match for third place,Mesut Özil,https://en.wikipedia.org/wiki/Mesut_%C3%96zil,Germany,Uruguay,Middenvelder,Attacking midfielder,True,1,1,0.19142857142857145,0.8703783088629299,1.092,0.1819438816847069,96,17.466612641731864,2,20.08660453799164,2,core_expected_points,0,0.0
FIFA World Cup 2010,Match for third place,Diego Forlán,https://en.wikipedia.org/wiki/Diego_Forl%C3%A1n,Uruguay,Germany,Aanvaller,Forward,True,1,1,0.26,0.8703783088629299,1.042,0.23580289143714495,48,11.318538788982957,3,10.752611849533809,3,core_expected_points,1,48.0
FIFA World Cup 2010,Match for third place,Luis Suárez,https://en.wikipedia.org/wiki/Luis_Su%C3%A1rez,Uruguay,Germany,Aanvaller,Striker,True,1,1,0.26,0.8703783088629299,1.042,0.23580289143714495,48,11.318538788982957,4,10.752611849533809,4,core_expected_points,0,0.0
FIFA World Cup 2010,Final,David Villa,https://en.wikipedia.org/wiki/David_Villa,Spain,Netherlands,Aanvaller,Striker,True,2,2,0.4266666666666667,1.6368073499856448,0.976,0.7497712516030244,48,35.98902007694517,1,34.18956907309791,1,core_expected_points,0,0.0
FIFA World Cup 2010,Final,Wesley Sneijder,https://en.wikipedia.org/wiki/Wesley_Sneijder,Netherlands,Spain,Middenvelder,Attacking midfielder,True,1,1,0.19142857142857145,0.8703783088629299,1.359,0.22643016044827532,96,21.73729540303443,2,24.99788971348959,2,core_expected_points,0,0.0
FIFA World Cup 2010,Final,Andrés Iniesta,https://en.wikipedia.org/wiki/Andr%C3%A9s_Iniesta,Spain,Netherlands,Middenvelder,Midfielder,True,1,1,0.22333333333333336,0.8703783088629299,0.976,0.1897192612438824,96,18.21304907941271,3,20.945006441324615,3,core_expected_points,1,96.0
FIFA World Cup 2010,Final,Dirk Kuyt,https://en.wikipedia.org/wiki/Dirk_Kuyt,Netherlands,Spain,Aanvaller,Forward right winger,True,1,1,0.22285714285714286,0.8703783088629299,1.359,0.26360526141739515,48,12.653052548034967,4,12.020399920633219,4,core_expected_points,0,0.0
FIFA World Cup 2014,Round of 16,Thomas Müller,https://en.wikipedia.org/wiki/Thomas_M%C3%BCller,Germany,Algeria,Aanvaller,Forward attacking midfielder,True,2,2,0.28444444444444444,1.65,2.037,1.0516352,24,25.2392448,1,23.97728256,1,core_expected_points,0,0.0
FIFA World Cup 2014,Round of 16,Óscar Duarte,"https://en.wikipedia.org/wiki/%C3%93scar_Duarte_(footballer,_born_1989)",Costa Rica,Greece,Keeper / Verdediger,Centre-back,True,1,1,0.19000000000000003,0.8870108043217286,1.52,0.25616872028811527,96,24.592197147659064,2,34.42907600672269,2,core_expected_points,0,0.0
FIFA World Cup 2014,Round of 16,Jan Vertonghen,https://en.wikipedia.org/wiki/Jan_Vertonghen,Belgium,United States,Keeper / Verdediger,Centre-back left-back,True,1,1,0.19000000000000003,0.8870108043217286,1.454,0.2450456048019208,96,23.524378060984397,3,32.934129285378155,3,core_expected_points,0,0.0
FIFA World Cup 2014,Round of 16,Marcos Rojo,https://en.wikipedia.org/wiki/Marcos_Rojo,Argentina,Switzerland,Keeper / Verdediger,Defender,True,1,1,0.14250000000000002,0.8870108043217286,1.92,0.24268615606242497,96,23.297870981992798,4,32.61701937478991,4,core_expected_points,0,0.0
FIFA World Cup 2014,Quarter-finals,Jan Vertonghen,https://en.wikipedia.org/wiki/Jan_Vertonghen,Belgium,Argentina,Keeper / Verdediger,Centre-back left-back,True,1,1,0.19000000000000003,0.8870108043217286,1.254,0.2113391942376951,128,27.051416862424972,1,37.87198360739496,1,core_expected_points,0,0.0
FIFA World Cup 2014,Quarter-finals,Karim Benzema,https://en.wikipedia.org/wiki/Karim_Benzema,France,Germany,Aanvaller,Striker,True,2,2,0.256,1.65,1.787,0.83031168,32,26.56997376,2,25.241475072,2,core_expected_points,0,0.0
FIFA World Cup 2014,Quarter-finals,Thomas Müller,https://en.wikipedia.org/wiki/Thomas_M%C3%BCller,Germany,France,Aanvaller,Forward attacking midfielder,True,2,2,0.28444444444444444,1.65,1.57,0.8105386666666667,32,25.937237333333336,3,24.64037546666667,3,core_expected_points,0,0.0
FIFA World Cup 2014,Quarter-finals,Óscar Duarte,"https://en.wikipedia.org/wiki/%C3%93scar_Duarte_(footballer,_born_1989)",Costa Rica,Netherlands,Keeper / Verdediger,Centre-back,True,1,1,0.19000000000000003,0.8870108043217286,1.12,0.1887558991596639,128,24.16075509243698,8,33.82505712941177,4,differential_upside,0,0.0
FIFA World Cup 2014,Semi-finals,Arjen Robben,https://en.wikipedia.org/wiki/Arjen_Robben,Netherlands,Argentina,Aanvaller,Right winger,True,2,2,0.21333333333333335,1.65,2.287,0.8855264,40,35.421056,1,33.6500032,1,core_expected_points,0,0.0
FIFA World Cup 2014,Semi-finals,Memphis Depay,https://en.wikipedia.org/wiki/Memphis_Depay,Netherlands,Argentina,Aanvaller,Forward,True,2,2,0.21333333333333335,1.65,2.287,0.8855264,40,35.421056,2,33.6500032,2,core_expected_points,0,0.0
FIFA World Cup 2014,Semi-finals,Robin van Persie,https://en.wikipedia.org/wiki/Robin_van_Persie,Netherlands,Argentina,Aanvaller,Striker,True,2,2,0.21333333333333335,1.65,2.287,0.8855264,40,35.421056,3,33.6500032,3,core_expected_points,0,0.0
FIFA World Cup 2014,Semi-finals,Stefan de Vrij,https://en.wikipedia.org/wiki/Stefan_de_Vrij,Netherlands,Argentina,Keeper / Verdediger,Centre-back,True,1,1,0.09500000000000001,0.8870108043217286,2.287,0.19271640240096038,160,30.834624384153663,6,43.168474137815124,4,differential_upside,0,0.0
FIFA World Cup 2014,Match for third place,Neymar,https://en.wikipedia.org/wiki/Neymar,Brazil,Netherlands,Aanvaller,Attacking midfielder forward,True,2,2,0.28444444444444444,1.65,1.637,0.8451285333333334,48,40.5661696,1,38.53786112,1,core_expected_points,0,0.0
FIFA World Cup 2014,Match for third place,Arjen Robben,https://en.wikipedia.org/wiki/Arjen_Robben,Netherlands,Brazil,Aanvaller,Right winger,True,2,2,0.21333333333333335,1.65,2.12,0.820864,48,39.401472,2,37.4313984,2,core_expected_points,0,0.0
FIFA World Cup 2014,Match for third place,Memphis Depay,https://en.wikipedia.org/wiki/Memphis_Depay,Netherlands,Brazil,Aanvaller,Forward,True,2,2,0.21333333333333335,1.65,2.12,0.820864,48,39.401472,3,37.4313984,3,core_expected_points,0,0.0
FIFA World Cup 2014,Match for third place,Stefan de Vrij,https://en.wikipedia.org/wiki/Stefan_de_Vrij,Netherlands,Brazil,Keeper / Verdediger,Centre-back,True,1,1,0.09500000000000001,0.8870108043217286,2.12,0.1786439759903962,192,34.29964339015607,5,48.0195007462185,4,differential_upside,0,0.0
FIFA World Cup 2014,Final,Thomas Müller,https://en.wikipedia.org/wiki/Thomas_M%C3%BCller,Germany,Argentina,Aanvaller,Forward attacking midfielder,True,2,2,0.28444444444444444,1.65,1.77,0.9137919999999999,48,43.862016,1,41.668915199999994,1,core_expected_points,0,0.0
FIFA World Cup 2014,Final,Mats Hummels,https://en.wikipedia.org/wiki/Mats_Hummels,Germany,Argentina,Keeper / Verdediger,Centre-back,True,1,1,0.12666666666666668,0.8870108043217286,1.77,0.19886782232893158,192,38.182621887154866,2,53.45567064201681,2,core_expected_points,0,0.0
FIFA World Cup 2014,Final,Marcos Rojo,https://en.wikipedia.org/wiki/Marcos_Rojo,Argentina,Germany,Keeper / Verdediger,Defender,True,1,1,0.14250000000000002,0.8870108043217286,1.387,0.1753154679471789,192,33.66056984585835,3,47.12479778420168,3,core_expected_points,0,0.0
FIFA World Cup 2014,Final,Lionel Messi,https://en.wikipedia.org/wiki/Lionel_Messi,Argentina,Germany,Aanvaller,Forward,True,3,3,0.445,0.6666666666666667,1.387,0.4937720000000001,48,23.701056000000005,4,22.516003200000004,4,core_expected_points,0,0.0
FIFA World Cup 2018,Round of 16,Andreas Granqvist,https://en.wikipedia.org/wiki/Andreas_Granqvist,Sweden,Switzerland,Keeper / Verdediger,Centre-back,True,2,2,0.3057142857142857,1.65,1.554,0.8622702,96,82.77793919999999,1,115.88911487999998,1,core_expected_points,0,0.0
FIFA World Cup 2018,Round of 16,Yerry Mina,https://en.wikipedia.org/wiki/Yerry_Mina,Colombia,England,Keeper / Verdediger,Centre-back,True,2,2,0.3057142857142857,1.65,1.321,0.7329851571428572,96,70.36657508571429,2,98.51320512,2,core_expected_points,1,96.0
FIFA World Cup 2018,Round of 16,Philippe Coutinho,https://en.wikipedia.org/wiki/Philippe_Coutinho,Brazil,Mexico,Middenvelder,Attacking midfielder,True,2,2,0.33428571428571424,1.65,1.654,1.003529057142857,48,48.169394742857136,3,55.3948039542857,3,core_expected_points,0,0.0
FIFA World Cup 2018,Round of 16,Luka Modrić,https://en.wikipedia.org/wiki/Luka_Modri%C4%87,Croatia,Denmark,Middenvelder,Central midfielder,True,2,2,0.26,1.65,1.654,0.7805226,48,37.4650848,4,43.08484752,4,core_expected_points,0,0.0
FIFA World Cup 2018,Quarter-finals,Andreas Granqvist,https://en.wikipedia.org/wiki/Andreas_Granqvist,Sweden,England,Keeper / Verdediger,Centre-back,True,2,2,0.3057142857142857,1.65,1.321,0.7329851571428572,128,93.82210011428572,1,131.35094016,1,core_expected_points,0,0.0
FIFA World Cup 2018,Quarter-finals,Luka Modrić,https://en.wikipedia.org/wiki/Luka_Modri%C4%87,Croatia,Russia,Middenvelder,Central midfielder,True,2,2,0.26,1.65,1.854,0.8749026000000001,64,55.993766400000005,2,64.39283136,2,core_expected_points,0,0.0
FIFA World Cup 2018,Quarter-finals,Philippe Coutinho,https://en.wikipedia.org/wiki/Philippe_Coutinho,Brazil,Belgium,Middenvelder,Attacking midfielder,True,2,2,0.33428571428571424,1.65,1.188,0.7207935428571428,64,46.13078674285714,3,53.05040475428571,3,core_expected_points,0,0.0
FIFA World Cup 2018,Quarter-finals,Ludwig Augustinsson,https://en.wikipedia.org/wiki/Ludwig_Augustinsson,Sweden,England,Keeper / Verdediger,Left-back,True,1,1,0.16285714285714287,0.8755196869650284,1.321,0.1883543024840164,128,24.1093507179541,7,33.75309100513574,4,differential_upside,0,0.0
FIFA World Cup 2018,Semi-finals,Luka Modrić,https://en.wikipedia.org/wiki/Luka_Modri%C4%87,Croatia,England,Middenvelder,Central midfielder,True,2,2,0.26,1.65,1.721,0.8121399,80,64.971192,1,74.7168708,1,core_expected_points,0,0.0
FIFA World Cup 2018,Semi-finals,Romelu Lukaku,https://en.wikipedia.org/wiki/Romelu_Lukaku,Belgium,France,Aanvaller,Striker,True,2,2,0.23272727272727273,1.65,1.954,0.8253695999999999,40,33.014784,2,31.3640448,2,core_expected_points,0,0.0
FIFA World Cup 2018,Semi-finals,Harry Kane,https://en.wikipedia.org/wiki/Harry_Kane,England,Croatia,Aanvaller,Striker,True,2,2,0.256,1.65,1.604,0.7452825600000001,40,29.811302400000006,3,28.320737280000003,3,core_expected_points,0,0.0
