section,priority,advice,points_context,reason,chasing_note
Landen,250.0,Wereldkampioen: France,250 pnt,France 1-0 Brazil,
Landen,120.0,Door naar finale: France,120 pnt,France 1-0 Portugal,
Landen,120.0,Door naar finale: Brazil,120 pnt,Brazil 1-0 Argentina,
Landen,75.0,Juiste groepspositie 1/2: France,75 pnt,"Projected GD 8, goals for 10",
Landen,75.0,Juiste groepspositie 1/2: Argentina,75 pnt,"Projected GD 7, goals for 8",
Landen,75.0,Juiste groepspositie 1/2: Mexico,75 pnt,"Projected GD 6, goals for 6",
Landen,75.0,Juiste groepspositie 1/2: Brazil,75 pnt,"Projected GD 6, goals for 7",
Landen,75.0,Juiste groepspositie 1/2: Germany,75 pnt,"Projected GD 6, goals for 10",
Landen,75.0,Juiste groepspositie 1/2: Netherlands,75 pnt,"Projected GD 6, goals for 10",
Landen,75.0,Juiste groepspositie 1/2: Canada,75 pnt,"Projected GD 5, goals for 8",
Landen,75.0,Juiste groepspositie 1/2: Spain,75 pnt,"Projected GD 5, goals for 5",
Landen,75.0,Juiste groepspositie 1/2: Portugal,75 pnt,"Projected GD 5, goals for 6",
Landen,75.0,Juiste groepspositie 1/2: Switzerland,75 pnt,"Projected GD 4, goals for 7",
Landen,75.0,Juiste groepspositie 1/2: United States,75 pnt,"Projected GD 4, goals for 8",
Landen,75.0,Juiste groepspositie 1/2: Japan,75 pnt,"Projected GD 4, goals for 7",
Landen,75.0,Juiste groepspositie 1/2: Belgium,75 pnt,"Projected GD 4, goals for 6",
Landen,75.0,Juiste groepspositie 1/2: England,75 pnt,"Projected GD 4, goals for 6",
Landen,75.0,Juiste groepspositie 1/2: Morocco,75 pnt,"Projected GD 3, goals for 6",
Landen,75.0,Juiste groepspositie 1/2: Colombia,75 pnt,"Projected GD 3, goals for 4",
Landen,75.0,Juiste groepspositie 1/2: Ivory Coast,75 pnt,"Projected GD 2, goals for 4",
Topscorers huidige fase,49.87374269973333,"Johan Manzambi (Switzerland, Middenvelder)",48 pnt/goal; EV 49.9,core_expected_points; vs Algeria; team xG 1.47,
Topscorers huidige fase,48.158630021766704,"Daniel Muñoz (Colombia, Keeper / Verdediger)",96 pnt/goal; EV 48.2,core_expected_points; vs Ghana; team xG 1.87,
Topscorers huidige fase,43.32584918084298,"Lionel Messi (Argentina, Aanvaller)",24 pnt/goal; EV 43.3,core_expected_points; vs Cape Verde; team xG 2.27,
Topscorers huidige fase,37.93807156972611,"Jude Bellingham (England, Middenvelder)",48 pnt/goal; EV 37.9,core_expected_points; vs DR Congo; team xG 1.74,
Wedstrijden,54.65145870456782,Brazil - Ivory Coast: 1-0,EV 54.7; exact 135; toto 90,"Achtste finale, exact p~10.4%, toto p~55.5%",CONTRARIAN CANDIDATE
