date,round,round_scoring_label,match_no,home_team,away_team,recommended_score,predicted_outcome,advancing_team_if_draw_or_win,toto_points,exact_points,estimated_exact_probability,estimated_toto_probability,expected_match_points,home_xg,away_xg,note,round_order
2026-06-22,Group I,Groepsfase,41,Norway,Senegal,2-0,home_win,,60,90,0.06238109464088069,0.38236704507315816,24.81345554361591,1.397,1.353,Penalty shootouts ignored; score is modeled through 120 minutes.,0
2026-06-22,Group I,Groepsfase,42,France,Iraq,1-1,draw,,60,90,0.09393921566001219,0.19854411439854883,14.730823333713296,2.103,0.899,Penalty shootouts ignored; score is modeled through 120 minutes.,0
2026-06-22,Group J,Groepsfase,43,Argentina,Austria,2-0,home_win,,60,90,0.10069412511133642,0.5907167817628693,38.463830659112254,1.916,0.987,Penalty shootouts ignored; score is modeled through 120 minutes.,0
2026-06-22,Group J,Groepsfase,44,Jordan,Algeria,1-1,draw,,60,90,0.1158244574221886,0.24480840622262295,18.163238096023033,1.154,1.639,Penalty shootouts ignored; score is modeled through 120 minutes.,0
2026-06-23,Group L,Groepsfase,45,England,Ghana,2-0,home_win,,60,90,0.10003518470561076,0.5866310699390841,38.198919737513364,1.904,0.993,Penalty shootouts ignored; score is modeled through 120 minutes.,0
2026-06-23,Group L,Groepsfase,46,Panama,Croatia,1-1,draw,,60,90,0.11623752950624701,0.24567219466022888,18.227457564801142,1.162,1.627,Penalty shootouts ignored; score is modeled through 120 minutes.,0
2026-06-23,Group K,Groepsfase,47,Portugal,Uzbekistan,2-0,home_win,,60,90,0.08904676834215251,0.5235481089807038,34.0842895891068,1.732,1.092,Penalty shootouts ignored; score is modeled through 120 minutes.,0
2026-06-23,Group K,Groepsfase,48,Colombia,DR Congo,2-0,home_win,,60,90,0.09738629729554747,0.5708226622578668,37.17094865433843,1.859,1.017,Penalty shootouts ignored; score is modeled through 120 minutes.,0
2026-06-24,Group C,Groepsfase,49,Scotland,Brazil,0-1,away_win,,60,90,0.10436736677982571,0.6533115014991782,42.32971109334546,0.896,2.111,Penalty shootouts ignored; score is modeled through 120 minutes.,0
2026-06-24,Group C,Groepsfase,50,Morocco,Haiti,2-2,draw,,60,90,0.046006213995037015,0.2057694391212337,13.726352767125132,2.039,0.927,Penalty shootouts ignored; score is modeled through 120 minutes.,0
2026-06-24,Group B,Groepsfase,51,Switzerland,Canada,2-0,home_win,,60,90,0.06486801988524123,0.39535310172504046,25.667226700059665,1.426,1.326,Penalty shootouts ignored; score is modeled through 120 minutes.,0
2026-06-24,Group B,Groepsfase,52,Bosnia and Herzegovina,Qatar,0-1,away_win,,60,90,0.0926783416574005,0.4091486519073879,27.32926936416529,1.298,1.457,Penalty shootouts ignored; score is modeled through 120 minutes.,0
2026-06-24,Group A,Groepsfase,53,Czech Republic,Mexico,0-1,away_win,,60,90,0.10407349634514083,0.5496828415377857,36.103175382621366,1.05,1.801,Penalty shootouts ignored; score is modeled through 120 minutes.,0
2026-06-24,Group A,Groepsfase,54,South Africa,South Korea,1-1,draw,,60,90,0.11711079417116464,0.24750695545451282,18.36374115240571,1.181,1.6,Penalty shootouts ignored; score is modeled through 120 minutes.,0
2026-06-25,Group E,Groepsfase,55,Curaçao,Ivory Coast,1-1,draw,,60,90,0.11162154589326385,0.23590561570859947,17.502983319313884,1.081,1.748,Penalty shootouts ignored; score is modeled through 120 minutes.,0
2026-06-25,Group E,Groepsfase,56,Ecuador,Germany,0-1,away_win,,60,90,0.10501837580251049,0.5854868276004919,38.27976093010483,0.995,1.901,Penalty shootouts ignored; score is modeled through 120 minutes.,0
2026-06-25,Group F,Groepsfase,57,Japan,Sweden,5-1,home_win,,60,90,0.011371967227299383,0.5854868276004919,35.470368672848494,1.901,0.995,Penalty shootouts ignored; score is modeled through 120 minutes.,0
2026-06-25,Group F,Groepsfase,58,Tunisia,Netherlands,5-1,home_win,,60,90,0.00044104214841635505,0.1395954138270637,8.388956094076311,0.874,2.163,Penalty shootouts ignored; score is modeled through 120 minutes.,0
2026-06-25,Group D,Groepsfase,59,Turkey,United States,0-1,away_win,,60,90,0.10502658023252713,0.5804755325835006,37.97932936198585,1.002,1.886,Penalty shootouts ignored; score is modeled through 120 minutes.,0
2026-06-25,Group D,Groepsfase,60,Paraguay,Australia,1-1,draw,,60,90,0.120590354468537,0.25486688298876686,18.90972361338212,1.319,1.433,Penalty shootouts ignored; score is modeled through 120 minutes.,0
2026-06-26,Group I,Groepsfase,61,Norway,France,2-0,home_win,,60,90,0.03335419593193801,0.22777056193625572,14.666859594133484,1.068,1.771,Penalty shootouts ignored; score is modeled through 120 minutes.,0
2026-06-26,Group I,Groepsfase,62,Senegal,Iraq,2-2,draw,,60,90,0.055251296460317345,0.24710637640842997,16.48392147831532,1.606,1.177,Penalty shootouts ignored; score is modeled through 120 minutes.,0
2026-06-26,Group G,Groepsfase,63,Egypt,Iran,2-2,draw,,60,90,0.05711509787002941,0.2554214255457235,17.038738468844294,1.389,1.361,Penalty shootouts ignored; score is modeled through 120 minutes.,0
2026-06-26,Group G,Groepsfase,64,New Zealand,Belgium,1-1,draw,,60,90,0.1056789421599992,0.2233518372292476,16.571478498554832,1.007,1.877,Penalty shootouts ignored; score is modeled through 120 minutes.,0
2026-06-26,Group H,Groepsfase,65,Cape Verde,Saudi Arabia,1-1,draw,,60,90,0.1201392041190896,0.2539188581861137,18.83930761473951,1.469,1.287,Penalty shootouts ignored; score is modeled through 120 minutes.,0
2026-06-26,Group H,Groepsfase,66,Uruguay,Spain,0-1,away_win,,60,90,0.10485226730713802,0.5733584815481256,37.54707691210168,1.013,1.866,Penalty shootouts ignored; score is modeled through 120 minutes.,0
2026-06-27,Group L,Groepsfase,67,Panama,England,0-1,away_win,,60,90,0.10485142944453316,0.6358589445019062,41.29707955345036,0.921,2.054,Penalty shootouts ignored; score is modeled through 120 minutes.,0
2026-06-27,Group L,Groepsfase,68,Croatia,Ghana,0-1,away_win,,60,90,0.07922532080795394,0.3157206213201118,21.319996903445325,1.508,1.253,Penalty shootouts ignored; score is modeled through 120 minutes.,0
2026-06-27,Group J,Groepsfase,69,Algeria,Austria,0-1,away_win,,60,90,0.0879008091592229,0.3722746734240633,24.973504680220486,1.375,1.375,Penalty shootouts ignored; score is modeled through 120 minutes.,0
2026-06-27,Group J,Groepsfase,70,Jordan,Argentina,0-1,away_win,,60,90,0.10166504843459977,0.7018905745072938,45.163385923475616,0.828,2.284,Penalty shootouts ignored; score is modeled through 120 minutes.,0
2026-06-27,Group K,Groepsfase,71,Colombia,Portugal,1-1,draw,,60,90,0.12041060420634601,0.25449807782681244,18.882202795799124,1.448,1.306,Penalty shootouts ignored; score is modeled through 120 minutes.,0
2026-06-27,Group K,Groepsfase,72,DR Congo,Uzbekistan,0-1,away_win,,60,90,0.089626861411804,0.38467016635967666,25.76901582393472,1.348,1.402,Penalty shootouts ignored; score is modeled through 120 minutes.,0
2026-06-28,Round of 32,Achtste-finale multiplier,73,South Korea,Canada,2-0,home_win,South Korea,90,135,0.060783920956492286,0.3741045106212645,36.404682398955956,1.379,1.371,Penalty shootouts ignored; score is modeled through 120 minutes.,1
2026-06-29,Round of 32,Achtste-finale multiplier,74,Germany,Paraguay,2-0,home_win,Germany,90,135,0.09615525707327191,0.563429025053164,55.035598823082,1.838,1.028,Penalty shootouts ignored; score is modeled through 120 minutes.,1
2026-06-29,Round of 32,Achtste-finale multiplier,75,Japan,Morocco,1-1,draw,Japan,90,135,0.11966644264702465,0.2529208980248501,28.147870741352623,1.497,1.263,Penalty shootouts ignored; score is modeled through 120 minutes.,1
2026-06-29,Round of 32,Achtste-finale multiplier,76,Brazil,Netherlands,1-1,draw,Brazil,90,135,0.12044783534322352,0.25456169533653683,28.330705170733374,1.447,1.306,Penalty shootouts ignored; score is modeled through 120 minutes.,1
2026-06-30,Round of 32,Achtste-finale multiplier,77,Norway,Belgium,2-0,home_win,Norway,90,135,0.05040062756368582,0.31981995992899703,31.051824633975595,1.262,1.498,Penalty shootouts ignored; score is modeled through 120 minutes.,1
2026-06-30,Round of 32,Achtste-finale multiplier,78,Ivory Coast,France,0-1,away_win,France,90,135,0.10433342495878145,0.5566842666713155,54.796588123563566,1.039,1.82,Penalty shootouts ignored; score is modeled through 120 minutes.,1
2026-06-30,Round of 32,Achtste-finale multiplier,79,Mexico,Scotland,1-1,draw,Mexico,90,135,0.1059230606769766,0.2238736773560998,24.91516869251293,1.872,1.01,Penalty shootouts ignored; score is modeled through 120 minutes.,1
2026-07-01,Round of 32,Achtste-finale multiplier,80,England,Uzbekistan,2-0,home_win,England,90,135,0.10188949740698112,0.5979519469820882,58.400702611702094,1.937,0.976,Penalty shootouts ignored; score is modeled through 120 minutes.,1
2026-07-01,Round of 32,Achtste-finale multiplier,81,United States,Qatar,2-2,draw,United States,90,135,0.046974942727603906,0.21002176422307925,21.015831202819307,2.001,0.945,Penalty shootouts ignored; score is modeled through 120 minutes.,1
2026-07-01,Round of 32,Achtste-finale multiplier,82,Egypt,Uruguay,2-0,home_win,Egypt,90,135,0.07373299053261659,0.44153601076003296,43.05622554237072,1.531,1.235,Penalty shootouts ignored; score is modeled through 120 minutes.,1
2026-07-02,Round of 32,Achtste-finale multiplier,83,Portugal,Ghana,2-0,home_win,Portugal,90,135,0.08693982030945607,0.5119197088546463,49.98506571084369,1.702,1.111,Penalty shootouts ignored; score is modeled through 120 minutes.,1
2026-07-02,Round of 32,Achtste-finale multiplier,84,Spain,Austria,2-0,home_win,Spain,90,135,0.09760321721380237,0.5719787023130685,55.87022798279727,1.862,1.015,Penalty shootouts ignored; score is modeled through 120 minutes.,1
2026-07-02,Round of 32,Achtste-finale multiplier,85,Switzerland,Sweden,2-0,home_win,Switzerland,90,135,0.07893376605776284,0.4689690914319107,45.75923770147129,1.596,1.185,Penalty shootouts ignored; score is modeled through 120 minutes.,1
2026-07-03,Round of 32,Achtste-finale multiplier,86,Argentina,Cape Verde,2-0,home_win,Argentina,90,135,0.10948201873636008,0.6482575236660756,63.26986797308301,2.094,0.903,Penalty shootouts ignored; score is modeled through 120 minutes.,1
2026-07-03,Round of 32,Achtste-finale multiplier,87,Colombia,Iraq,1-1,draw,Colombia,90,135,0.10323796070803108,0.21820465284267185,24.284126987701864,1.926,0.982,Penalty shootouts ignored; score is modeled through 120 minutes.,1
2026-07-03,Round of 32,Achtste-finale multiplier,88,Australia,Iran,0-1,away_win,Iran,90,135,0.09581944255778535,0.4367832182028158,43.62236455335376,1.244,1.52,Penalty shootouts ignored; score is modeled through 120 minutes.,1
2026-07-04,Round of 16,Achtste finale,89,Germany,Norway,2-0,home_win,Germany,90,135,0.08792061100766974,0.5171448006744762,50.499459556048,1.715,1.102,Penalty shootouts ignored; score is modeled through 120 minutes.,2
2026-07-04,Round of 16,Achtste finale,90,South Korea,Japan,2-0,home_win,South Korea,90,135,0.03755855337652407,0.25100916284377456,24.280959557883293,1.117,1.693,Penalty shootouts ignored; score is modeled through 120 minutes.,2
2026-07-05,Round of 16,Achtste finale,91,Brazil,France,1-1,draw,Brazil,90,135,0.12083542040713936,0.25538548744308903,28.422287788199284,1.396,1.354,Penalty shootouts ignored; score is modeled through 120 minutes.,2
2026-07-05,Round of 16,Achtste finale,92,Mexico,England,2-0,home_win,Mexico,90,135,0.05130504181071281,0.32456145075409076,31.519257449350246,1.272,1.486,Penalty shootouts ignored; score is modeled through 120 minutes.,2
2026-07-06,Round of 16,Achtste finale,93,Portugal,Spain,2-0,home_win,Portugal,90,135,0.04176464935295861,0.27385238157327524,26.52612356247791,1.165,1.623,Penalty shootouts ignored; score is modeled through 120 minutes.,2
2026-07-06,Round of 16,Achtste finale,94,United States,Egypt,2-2,draw,United States,90,135,0.05688526205822139,0.2542810846419427,25.445134410394807,1.456,1.299,Penalty shootouts ignored; score is modeled through 120 minutes.,2
2026-07-07,Round of 16,Achtste finale,95,Argentina,Iran,1-1,draw,Argentina,90,135,0.11186473060693655,0.2364434369897298,26.313822206387826,1.742,1.086,Penalty shootouts ignored; score is modeled through 120 minutes.,2
2026-07-07,Round of 16,Achtste finale,96,Switzerland,Colombia,2-0,home_win,Switzerland,90,135,0.04578006881265964,0.295323951134395,28.639258698665234,1.21,1.562,Penalty shootouts ignored; score is modeled through 120 minutes.,2
2026-07-09,Quarterfinals,Kwartfinale,97,Germany,South Korea,2-0,home_win,Germany,120,180,0.08736397270335258,0.5140566595216307,66.92863750479684,1.707,1.107,Penalty shootouts ignored; score is modeled through 120 minutes.,3
2026-07-10,Quarterfinals,Kwartfinale,98,Portugal,United States,2-0,home_win,Portugal,120,180,0.05733706804524423,0.35617043674067933,46.180676491596174,1.34,1.411,Penalty shootouts ignored; score is modeled through 120 minutes.,3
2026-07-11,Quarterfinals,Kwartfinale,99,Brazil,Mexico,1-1,draw,Brazil,120,180,0.11847310984384195,0.25039825330789167,37.15617698757751,1.551,1.219,Penalty shootouts ignored; score is modeled through 120 minutes.,3
2026-07-11,Quarterfinals,Kwartfinale,100,Argentina,Switzerland,2-0,home_win,Argentina,120,180,0.0938222858483972,0.5501526448574906,71.64765453380271,1.802,1.049,Penalty shootouts ignored; score is modeled through 120 minutes.,3
2026-07-14,Semifinals,Halve finale,101,Germany,Portugal,1-1,draw,Germany,150,225,0.1189964885230419,0.25149169423380346,46.648490774298665,1.53,1.235,Penalty shootouts ignored; score is modeled through 120 minutes.,4
2026-07-15,Semifinals,Halve finale,102,Brazil,Argentina,2-0,home_win,Brazil,150,225,0.05566692416756394,0.34742629199017666,56.28896311109379,1.321,1.431,Penalty shootouts ignored; score is modeled through 120 minutes.,4
2026-07-18,Match for third place,Troostfinale/finale multiplier,103,Portugal,Argentina,2-0,home_win,Portugal,180,270,0.03888389124258986,0.25822060260795987,49.97925868126586,1.132,1.67,Penalty shootouts ignored; score is modeled through 120 minutes.,5
2026-07-19,Final,Finale,104,Germany,Brazil,2-0,home_win,Germany,180,270,0.05480127606091532,0.34301488478435566,66.6747941066664,1.312,1.442,Penalty shootouts ignored; score is modeled through 120 minutes.,6
