phase,round,phase_pick_rank,pick_style,player,team,opponent,scorito_position,group_goals,expected_round_goals,points_per_goal,expected_round_points,team_xg,adjusted_team_xg,opponent_goals_against_per_match,opponent_clean_sheet_rate,opponent_defense_factor,attacking_opportunity_score,team_elo_diff,pure_points_rank,differential_score,selected_for_pool_size
Fase 2 - Round of 32 / 1e knockout,Round of 32,1,core_expected_points,Daniel Muñoz,Colombia,Ghana,Keeper / Verdediger,2,0.575373122339752,96,55.235819744616194,1.867,1.7711606666666666,0.6666666666666666,0.6666666666666666,0.9486666666666668,1.9674873333333327,198.94,1,73.46364026033953,medium
Fase 2 - Round of 32 / 1e knockout,Round of 32,2,core_expected_points,Jude Bellingham,England,DR Congo,Middenvelder,2,0.906526896,48,43.513291008,1.744,1.7172586666666665,1.0,0.0,0.9846666666666666,1.913667,154.55,2,49.27300029442559,medium
Fase 2 - Round of 32 / 1e knockout,Round of 32,3,core_expected_points,Johan Manzambi,Switzerland,Algeria,Middenvelder,2,0.7238400198549585,48,34.744320953038006,1.471,1.5425886666666666,2.333333333333333,0.0,1.0486666666666666,1.706100333333333,43.73,3,41.90049292533206,medium
Fase 2 - Round of 32 / 1e knockout,Round of 32,4,core_expected_points,Ermin Mahmić,Bosnia and Herzegovina,United States,Middenvelder,2,0.6986810841625163,48,33.53669203980078,1.169,1.1580893333333333,1.3333333333333333,0.3333333333333333,0.9906666666666666,0.9814343333333332,-105.27,4,38.207235351210365,medium
Fase 2b - Achtste finale,Round of 16,1,core_expected_points,Daniel Muñoz,Colombia,Switzerland,Keeper / Verdediger,2,0.4807727327762878,96,46.15418234652363,1.503,1.4799539999999998,1.0,0.0,0.9846666666666666,1.5315223333333332,57.99,1,63.6250788374277,medium
Fase 2b - Achtste finale,Round of 16,2,core_expected_points,Jude Bellingham,England,Mexico,Middenvelder,2,0.6777287037483618,48,32.530977779921365,1.416,1.28384,0.0,1.0,0.9066666666666668,1.1270583333333333,19.09,2,35.54009322456409,medium
Fase 2b - Achtste finale,Round of 16,3,core_expected_points,Johan Manzambi,Switzerland,Colombia,Middenvelder,2,0.5505535293805155,48,26.426569410264744,1.258,1.1732946666666666,0.3333333333333333,0.6666666666666666,0.9326666666666666,0.9508929999999998,-57.99,3,28.871027080714228,medium
Fase 2b - Achtste finale,Round of 16,4,differential_upside,Alexis Saelemaekers,Belgium,United States,Keeper / Verdediger,1,0.2064869074529499,96,19.822743115483195,1.667,1.651441333333333,1.3333333333333333,0.3333333333333333,0.9906666666666666,1.8202063333333331,125.01,7,27.492823184967488,medium
Fase 3 - Kwartfinale,Quarterfinals,1,core_expected_points,Johan Manzambi,Switzerland,Argentina,Middenvelder,2,0.4634627882463958,64,29.66161844776933,1.059,0.987694,0.3333333333333333,0.6666666666666666,0.9326666666666666,0.5981323333333333,-169.43,1,32.40531815418799,medium
Fase 3 - Kwartfinale,Quarterfinals,2,core_expected_points,Lionel Messi,Argentina,Switzerland,Aanvaller,3,0.9144581788943336,32,29.26266172461867,1.784,1.7566453333333332,1.0,0.0,0.9846666666666666,1.9753736666666664,169.43,2,27.373269199265785,medium
Fase 3 - Kwartfinale,Quarterfinals,3,core_expected_points,Nuno Mendes,Portugal,United States,Keeper / Verdediger,1,0.208468785388911,128,26.684004529780616,1.683,1.667292,1.3333333333333333,0.3333333333333333,0.9906666666666666,1.845882,131.56,3,37.008935349170386,medium
Fase 3 - Kwartfinale,Quarterfinals,4,differential_upside,Mateo Chávez,Mexico,Brazil,Keeper / Verdediger,1,0.1430870690682452,128,18.3151448407354,1.227,1.144382,0.3333333333333333,0.6666666666666666,0.9326666666666666,0.8980853333333332,-73.92,9,24.35914263817808,medium
Fase 4 - Halve finale,Semifinals,1,core_expected_points,Vinícius Júnior,Brazil,Argentina,Aanvaller,3,0.708857719987048,40,28.35430879948192,1.314,1.225524,0.3333333333333333,0.6666666666666666,0.9326666666666666,1.0457823333333336,-29.55,1,25.589763691532433,medium
Fase 4 - Halve finale,Semifinals,2,core_expected_points,Lionel Messi,Argentina,Brazil,Aanvaller,3,0.6986618212749056,40,27.946472850996223,1.439,1.342107333333333,0.3333333333333333,0.6666666666666666,0.9326666666666666,1.2510156666666667,29.55,2,25.22169174802409,medium
Fase 4 - Halve finale,Semifinals,3,core_expected_points,Matheus Cunha,Brazil,Argentina,Aanvaller,2,0.6291270855486777,40,25.16508342194711,1.314,1.225524,0.3333333333333333,0.6666666666666666,0.9326666666666666,1.0457823333333336,-29.55,3,22.711487788307267,medium
