player,player_url,team,group_goals,group_goal_matches,latest_group_goal_date,team_completed_group_goals,team_completed_group_matches
Abbosbek Fayzullaev,https://en.wikipedia.org/wiki/Abbosbek_Fayzullaev,Uzbekistan,1,1,2026-06-17,1.0,2
Abdulelah Al-Amri,https://en.wikipedia.org/wiki/Abdulelah_Al-Amri,Saudi Arabia,1,1,2026-06-15,1.0,2
Agustín Canobbio,https://en.wikipedia.org/wiki/Agust%C3%ADn_Canobbio,Uruguay,1,1,2026-06-21,3.0,2
Alex Freeman,https://en.wikipedia.org/wiki/Alex_Freeman,United States,1,1,2026-06-19,6.0,2
Alexander Isak,https://en.wikipedia.org/wiki/Alexander_Isak,Sweden,1,1,2026-06-14,6.0,2
Ali Olwan,https://en.wikipedia.org/wiki/Ali_Olwan,Jordan,1,1,2026-06-16,2.0,2
Amad Diallo,https://en.wikipedia.org/wiki/Amad_Diallo,Ivory Coast,1,1,2026-06-14,2.0,2
Amine Gouiri,https://en.wikipedia.org/wiki/Amine_Gouiri,Algeria,1,1,2026-06-22,2.0,2
Ante Budimir,https://en.wikipedia.org/wiki/Ante_Budimir,Croatia,1,1,2026-06-23,3.0,2
Anthony Elanga,https://en.wikipedia.org/wiki/Anthony_Elanga,Sweden,1,1,2026-06-20,6.0,2
Ayase Ueda,https://en.wikipedia.org/wiki/Ayase_Ueda,Japan,1,1,2026-06-20,6.0,2
Aymen Hussein,https://en.wikipedia.org/wiki/Aymen_Hussein,Iraq,1,1,2026-06-16,1.0,2
Bradley Barcola,https://en.wikipedia.org/wiki/Bradley_Barcola,France,1,1,2026-06-16,6.0,2
Breel Embolo,https://en.wikipedia.org/wiki/Breel_Embolo,Switzerland,1,1,2026-06-13,5.0,2
Brian Brobbey,https://en.wikipedia.org/wiki/Brian_Brobbey,Netherlands,1,1,2026-06-20,7.0,2
Caleb Yirenkyi,https://en.wikipedia.org/wiki/Caleb_Yirenkyi,Ghana,1,1,2026-06-17,1.0,2
Cody Gakpo,https://en.wikipedia.org/wiki/Cody_Gakpo,Netherlands,1,1,2026-06-20,7.0,2
Connor Metcalfe,https://en.wikipedia.org/wiki/Connor_Metcalfe,Australia,1,1,2026-06-13,2.0,2
Cristiano Ronaldo,https://en.wikipedia.org/wiki/Cristiano_Ronaldo,Portugal,1,1,2026-06-23,6.0,2
Crysencio Summerville,https://en.wikipedia.org/wiki/Crysencio_Summerville,Netherlands,2,2,2026-06-20,7.0,2
Cyle Larin,https://en.wikipedia.org/wiki/Cyle_Larin,Canada,2,2,2026-06-18,7.0,2
Daichi Kamada,https://en.wikipedia.org/wiki/Daichi_Kamada,Japan,2,2,2026-06-20,6.0,2
Daniel Muñoz,https://en.wikipedia.org/wiki/Daniel_Mu%C3%B1oz_(footballer),Colombia,2,2,2026-06-23,4.0,2
Deniz Undav,https://en.wikipedia.org/wiki/Deniz_Undav,Germany,2,2,2026-06-20,9.0,2
Elijah Just,https://en.wikipedia.org/wiki/Elijah_Just,New Zealand,1,1,2026-06-15,3.0,2
Emam Ashour,https://en.wikipedia.org/wiki/Emam_Ashour,Egypt,1,1,2026-06-15,4.0,2
Erling Haaland,https://en.wikipedia.org/wiki/Erling_Haaland,Norway,2,2,2026-06-22,7.0,2
Ermin Mahmić,https://en.wikipedia.org/wiki/Ermin_Mahmi%C4%87,Bosnia and Herzegovina,1,1,2026-06-18,2.0,2
Felix Nmecha,https://en.wikipedia.org/wiki/Felix_Nmecha,Germany,1,1,2026-06-14,9.0,2
Finn Surman,https://en.wikipedia.org/wiki/Finn_Surman,New Zealand,1,1,2026-06-21,3.0,2
Folarin Balogun,https://en.wikipedia.org/wiki/Folarin_Balogun,United States,1,1,2026-06-12,6.0,2
Franck Kessié,https://en.wikipedia.org/wiki/Franck_Kessi%C3%A9,Ivory Coast,1,1,2026-06-20,2.0,2
Giovanni Reyna,https://en.wikipedia.org/wiki/Giovanni_Reyna,United States,1,1,2026-06-12,6.0,2
Granit Xhaka,https://en.wikipedia.org/wiki/Granit_Xhaka,Switzerland,1,1,2026-06-18,5.0,2
Harry Kane,https://en.wikipedia.org/wiki/Harry_Kane,England,1,1,2026-06-17,4.0,2
Hwang In-beom,https://en.wikipedia.org/wiki/Hwang_In-beom,South Korea,1,1,2026-06-11,2.0,2
