team,group_goals_against,group_defensive_matches,group_clean_sheets,group_goals_against_per_match,group_clean_sheet_rate,opponent_defense_factor
Algeria,7.0,3,0.0,2.3333333333333335,0.0,1.0486666666666666
Argentina,1.0,3,2.0,0.3333333333333333,0.6666666666666666,0.9326666666666666
Australia,2.0,3,2.0,0.6666666666666666,0.6666666666666666,0.9486666666666667
Austria,6.0,3,0.0,2.0,0.0,1.0326666666666666
Belgium,2.0,3,1.0,0.6666666666666666,0.3333333333333333,0.9586666666666667
Bosnia and Herzegovina,6.0,3,0.0,2.0,0.0,1.0326666666666666
Brazil,1.0,3,2.0,0.3333333333333333,0.6666666666666666,0.9326666666666666
Canada,3.0,3,1.0,1.0,0.3333333333333333,0.9746666666666666
Cape Verde,2.0,3,2.0,0.6666666666666666,0.6666666666666666,0.9486666666666667
Colombia,1.0,3,2.0,0.3333333333333333,0.6666666666666666,0.9326666666666666
Croatia,5.0,3,1.0,1.6666666666666667,0.3333333333333333,1.0066666666666666
Curaçao,9.0,3,1.0,3.0,0.3333333333333333,1.0706666666666667
Czech Republic,6.0,3,0.0,2.0,0.0,1.0326666666666666
DR Congo,3.0,3,0.0,1.0,0.0,0.9846666666666666
Ecuador,2.0,3,1.0,0.6666666666666666,0.3333333333333333,0.9586666666666667
Egypt,3.0,3,0.0,1.0,0.0,0.9846666666666666
England,2.0,3,2.0,0.6666666666666666,0.6666666666666666,0.9486666666666667
France,2.0,3,1.0,0.6666666666666666,0.3333333333333333,0.9586666666666667
Germany,4.0,3,0.0,1.3333333333333333,0.0,1.0006666666666666
Ghana,2.0,3,2.0,0.6666666666666666,0.6666666666666666,0.9486666666666667
Haiti,8.0,3,0.0,2.6666666666666665,0.0,1.0646666666666667
Iran,3.0,3,1.0,1.0,0.3333333333333333,0.9746666666666666
Iraq,12.0,3,0.0,4.0,0.0,1.1
Ivory Coast,2.0,3,2.0,0.6666666666666666,0.6666666666666666,0.9486666666666667
Japan,3.0,3,1.0,1.0,0.3333333333333333,0.9746666666666666
Jordan,8.0,3,0.0,2.6666666666666665,0.0,1.0646666666666667
Mexico,0.0,3,3.0,0.0,1.0,0.9066666666666667
Morocco,3.0,3,1.0,1.0,0.3333333333333333,0.9746666666666666
Netherlands,4.0,3,0.0,1.3333333333333333,0.0,1.0006666666666666
New Zealand,10.0,3,0.0,3.3333333333333335,0.0,1.0966666666666667
Norway,7.0,3,0.0,2.3333333333333335,0.0,1.0486666666666666
Panama,4.0,3,0.0,1.3333333333333333,0.0,1.0006666666666666
Paraguay,4.0,3,2.0,1.3333333333333333,0.6666666666666666,0.9806666666666666
Portugal,1.0,3,2.0,0.3333333333333333,0.6666666666666666,0.9326666666666666
Qatar,10.0,3,0.0,3.3333333333333335,0.0,1.0966666666666667
Saudi Arabia,5.0,3,1.0,1.6666666666666667,0.3333333333333333,1.0066666666666666
Scotland,4.0,3,1.0,1.3333333333333333,0.3333333333333333,0.9906666666666666
Senegal,6.0,3,1.0,2.0,0.3333333333333333,1.0226666666666666
South Africa,3.0,3,1.0,1.0,0.3333333333333333,0.9746666666666666
South Korea,3.0,3,0.0,1.0,0.0,0.9846666666666666
Spain,0.0,3,3.0,0.0,1.0,0.9066666666666667
Sweden,7.0,3,0.0,2.3333333333333335,0.0,1.0486666666666666
Switzerland,3.0,3,0.0,1.0,0.0,0.9846666666666666
Tunisia,12.0,3,0.0,4.0,0.0,1.1
Turkey,5.0,3,0.0,1.6666666666666667,0.0,1.0166666666666666
United States,4.0,3,1.0,1.3333333333333333,0.3333333333333333,0.9906666666666666
Uruguay,4.0,3,0.0,1.3333333333333333,0.0,1.0006666666666666
Uzbekistan,11.0,3,0.0,3.6666666666666665,0.0,1.1
