match_key,tournament,competition,year,round,stage_type,date,team,player,player_url,goal_text
FIFA World Cup 2010-main-1,FIFA World Cup 2010,FIFA World Cup,2010,Round of 16,knockout,2010-06-26,Uruguay,Luis Suárez,https://en.wikipedia.org/wiki/Luis_Su%C3%A1rez,"Suárez 8' , 80'"
FIFA World Cup 2010-main-1,FIFA World Cup 2010,FIFA World Cup,2010,Round of 16,knockout,2010-06-26,South Korea,Lee Chung-yong,https://en.wikipedia.org/wiki/Lee_Chung-yong,Lee Chung-yong 68'
FIFA World Cup 2010-main-2,FIFA World Cup 2010,FIFA World Cup,2010,Round of 16,knockout,2010-06-26,United States,Landon Donovan,https://en.wikipedia.org/wiki/Landon_Donovan,Donovan 62' ( pen. )
FIFA World Cup 2010-main-2,FIFA World Cup 2010,FIFA World Cup,2010,Round of 16,knockout,2010-06-26,Ghana,Kevin-Prince Boateng,https://en.wikipedia.org/wiki/Kevin-Prince_Boateng,Boateng 5'
FIFA World Cup 2010-main-2,FIFA World Cup 2010,FIFA World Cup,2010,Round of 16,knockout,2010-06-26,Ghana,Asamoah Gyan,https://en.wikipedia.org/wiki/Asamoah_Gyan,Gyan 93'
FIFA World Cup 2010-main-3,FIFA World Cup 2010,FIFA World Cup,2010,Round of 16,knockout,2010-06-27,Germany,Miroslav Klose,https://en.wikipedia.org/wiki/Miroslav_Klose,Klose 20'
FIFA World Cup 2010-main-3,FIFA World Cup 2010,FIFA World Cup,2010,Round of 16,knockout,2010-06-27,Germany,Lukas Podolski,https://en.wikipedia.org/wiki/Lukas_Podolski,Podolski 32'
FIFA World Cup 2010-main-3,FIFA World Cup 2010,FIFA World Cup,2010,Round of 16,knockout,2010-06-27,Germany,Thomas Müller,https://en.wikipedia.org/wiki/Thomas_M%C3%BCller,"Müller 67' , 70'"
FIFA World Cup 2010-main-3,FIFA World Cup 2010,FIFA World Cup,2010,Round of 16,knockout,2010-06-27,England,Matthew Upson,https://en.wikipedia.org/wiki/Matthew_Upson,Upson 37'
FIFA World Cup 2010-main-4,FIFA World Cup 2010,FIFA World Cup,2010,Round of 16,knockout,2010-06-27,Argentina,Carlos Tevez,https://en.wikipedia.org/wiki/Carlos_Tevez,"Tevez 26' , 52'"
