match_key,tournament,competition,year,round,stage_type,date,home_team,away_team,home_score,away_score
FIFA World Cup 2010-main-1,FIFA World Cup 2010,FIFA World Cup,2010,Round of 16,knockout,2010-06-26,Uruguay,South Korea,2.0,1.0
FIFA World Cup 2010-main-2,FIFA World Cup 2010,FIFA World Cup,2010,Round of 16,knockout,2010-06-26,United States,Ghana,1.0,2.0
FIFA World Cup 2010-main-3,FIFA World Cup 2010,FIFA World Cup,2010,Round of 16,knockout,2010-06-27,Germany,England,4.0,1.0
FIFA World Cup 2010-main-4,FIFA World Cup 2010,FIFA World Cup,2010,Round of 16,knockout,2010-06-27,Argentina,Mexico,3.0,1.0
FIFA World Cup 2010-main-5,FIFA World Cup 2010,FIFA World Cup,2010,Round of 16,knockout,2010-06-28,Netherlands,Slovakia,2.0,1.0
FIFA World Cup 2010-main-6,FIFA World Cup 2010,FIFA World Cup,2010,Round of 16,knockout,2010-06-28,Brazil,Chile,3.0,0.0
FIFA World Cup 2010-main-7,FIFA World Cup 2010,FIFA World Cup,2010,Round of 16,knockout,2010-06-29,Paraguay,Japan,0.0,0.0
FIFA World Cup 2010-main-8,FIFA World Cup 2010,FIFA World Cup,2010,Round of 16,knockout,2010-06-29,Spain,Portugal,1.0,0.0
FIFA World Cup 2010-main-9,FIFA World Cup 2010,FIFA World Cup,2010,Quarter-finals,knockout,2010-07-02,Netherlands,Brazil,2.0,1.0
FIFA World Cup 2010-main-10,FIFA World Cup 2010,FIFA World Cup,2010,Quarter-finals,knockout,2010-07-02,Uruguay,Ghana,1.0,1.0
FIFA World Cup 2010-main-11,FIFA World Cup 2010,FIFA World Cup,2010,Quarter-finals,knockout,2010-07-03,Argentina,Germany,0.0,4.0
FIFA World Cup 2010-main-12,FIFA World Cup 2010,FIFA World Cup,2010,Quarter-finals,knockout,2010-07-03,Paraguay,Spain,0.0,1.0
FIFA World Cup 2010-main-13,FIFA World Cup 2010,FIFA World Cup,2010,Semi-finals,knockout,2010-07-06,Uruguay,Netherlands,2.0,3.0
FIFA World Cup 2010-main-14,FIFA World Cup 2010,FIFA World Cup,2010,Semi-finals,knockout,2010-07-07,Germany,Spain,0.0,1.0
FIFA World Cup 2010-main-15,FIFA World Cup 2010,FIFA World Cup,2010,Match for third place,knockout,2010-07-10,Uruguay,Germany,2.0,3.0
FIFA World Cup 2010-main-16,FIFA World Cup 2010,FIFA World Cup,2010,Final,knockout,2010-07-11,Netherlands,Spain,0.0,1.0
FIFA World Cup 2010-group_A-1,FIFA World Cup 2010,FIFA World Cup,2010,Group A,group,2010-06-11,South Africa,Mexico,1.0,1.0
FIFA World Cup 2010-group_A-2,FIFA World Cup 2010,FIFA World Cup,2010,Group A,group,2010-06-11,Uruguay,France,0.0,0.0
FIFA World Cup 2010-group_A-3,FIFA World Cup 2010,FIFA World Cup,2010,Group A,group,2010-06-16,South Africa,Uruguay,0.0,3.0
FIFA World Cup 2010-group_A-4,FIFA World Cup 2010,FIFA World Cup,2010,Group A,group,2010-06-17,France,Mexico,0.0,2.0
FIFA World Cup 2010-group_A-5,FIFA World Cup 2010,FIFA World Cup,2010,Group A,group,2010-06-22,Mexico,Uruguay,0.0,1.0
FIFA World Cup 2010-group_A-6,FIFA World Cup 2010,FIFA World Cup,2010,Group A,group,2010-06-22,France,South Africa,1.0,2.0
