tournament,team,group_goals,group_matches,knockout_goals,knockout_matches,group_goals_per_match,knockout_goals_per_match
FIFA World Cup 2010,Germany,5.0,3,11.0,4,1.6666666666666667,2.75
FIFA World Cup 2010,Brazil,5.0,3,4.0,2,1.6666666666666667,2.0
FIFA World Cup 2010,Netherlands,5.0,3,7.0,4,1.6666666666666667,1.75
FIFA World Cup 2010,Uruguay,4.0,3,7.0,4,1.3333333333333333,1.75
FIFA World Cup 2010,Argentina,7.0,3,3.0,2,2.3333333333333335,1.5
FIFA World Cup 2010,Ghana,2.0,3,3.0,2,0.6666666666666666,1.5
FIFA World Cup 2010,England,2.0,3,1.0,1,0.6666666666666666,1.0
FIFA World Cup 2010,Mexico,3.0,3,1.0,1,1.0,1.0
FIFA World Cup 2010,Slovakia,4.0,3,1.0,1,1.3333333333333333,1.0
FIFA World Cup 2010,South Korea,5.0,3,1.0,1,1.6666666666666667,1.0
FIFA World Cup 2010,Spain,4.0,3,4.0,4,1.3333333333333333,1.0
FIFA World Cup 2010,United States,4.0,3,1.0,1,1.3333333333333333,1.0
FIFA World Cup 2010,Chile,3.0,3,0.0,1,1.0,0.0
FIFA World Cup 2010,Japan,4.0,3,0.0,1,1.3333333333333333,0.0
FIFA World Cup 2010,Paraguay,3.0,3,0.0,2,1.0,0.0
FIFA World Cup 2010,Portugal,7.0,3,0.0,1,2.3333333333333335,0.0
FIFA World Cup 2014,Germany,7.0,3,11.0,4,2.3333333333333335,2.75
FIFA World Cup 2014,Colombia,9.0,3,3.0,2,3.0,1.5
FIFA World Cup 2014,Netherlands,10.0,3,5.0,4,3.3333333333333335,1.25
FIFA World Cup 2014,Algeria,6.0,3,1.0,1,2.0,1.0
FIFA World Cup 2014,Belgium,4.0,3,2.0,2,1.3333333333333333,1.0
FIFA World Cup 2014,Brazil,7.0,3,4.0,4,2.3333333333333335,1.0
FIFA World Cup 2014,Chile,5.0,3,1.0,1,1.6666666666666667,1.0
FIFA World Cup 2014,France,8.0,3,2.0,2,2.6666666666666665,1.0
FIFA World Cup 2014,Greece,2.0,3,1.0,1,0.6666666666666666,1.0
FIFA World Cup 2014,Mexico,4.0,3,1.0,1,1.3333333333333333,1.0
FIFA World Cup 2014,United States,4.0,3,1.0,1,1.3333333333333333,1.0
FIFA World Cup 2014,Argentina,6.0,3,2.0,4,2.0,0.5
FIFA World Cup 2014,Costa Rica,4.0,3,1.0,2,1.3333333333333333,0.5
FIFA World Cup 2014,Nigeria,3.0,3,0.0,1,1.0,0.0
FIFA World Cup 2014,Switzerland,7.0,3,0.0,1,2.3333333333333335,0.0
FIFA World Cup 2014,Uruguay,4.0,3,0.0,1,1.3333333333333333,0.0
FIFA World Cup 2018,Argentina,3.0,3,3.0,1,1.0,3.0
FIFA World Cup 2018,France,3.0,3,11.0,4,1.0,2.75
FIFA World Cup 2018,Japan,4.0,3,2.0,1,1.3333333333333333,2.0
FIFA World Cup 2018,Croatia,7.0,3,7.0,4,2.3333333333333335,1.75
FIFA World Cup 2018,Belgium,9.0,3,5.0,3,3.0,1.6666666666666667
FIFA World Cup 2018,Brazil,5.0,3,3.0,2,1.6666666666666667,1.5
FIFA World Cup 2018,Russia,8.0,3,3.0,2,2.6666666666666665,1.5
FIFA World Cup 2018,England,8.0,3,4.0,3,2.6666666666666665,1.3333333333333333
FIFA World Cup 2018,Colombia,5.0,3,1.0,1,1.6666666666666667,1.0
FIFA World Cup 2018,Denmark,2.0,3,1.0,1,0.6666666666666666,1.0
FIFA World Cup 2018,Portugal,5.0,3,1.0,1,1.6666666666666667,1.0
FIFA World Cup 2018,Spain,6.0,3,1.0,1,2.0,1.0
FIFA World Cup 2018,Uruguay,5.0,3,2.0,2,1.6666666666666667,1.0
FIFA World Cup 2018,Sweden,5.0,3,1.0,2,1.6666666666666667,0.5
FIFA World Cup 2018,Mexico,3.0,3,0.0,1,1.0,0.0
FIFA World Cup 2018,Switzerland,5.0,3,0.0,1,1.6666666666666667,0.0
FIFA World Cup 2022,Portugal,6.0,3,6.0,2,2.0,3.0
FIFA World Cup 2022,Argentina,5.0,3,10.0,4,1.6666666666666667,2.5
FIFA World Cup 2022,Brazil,3.0,3,5.0,2,1.0,2.5
FIFA World Cup 2022,France,6.0,3,10.0,4,2.0,2.5
FIFA World Cup 2022,Netherlands,5.0,3,5.0,2,1.6666666666666667,2.5
FIFA World Cup 2022,England,9.0,3,4.0,2,3.0,2.0
FIFA World Cup 2022,Australia,3.0,3,1.0,1,1.0,1.0
FIFA World Cup 2022,Croatia,4.0,3,4.0,4,1.3333333333333333,1.0
FIFA World Cup 2022,Japan,4.0,3,1.0,1,1.3333333333333333,1.0
FIFA World Cup 2022,Poland,2.0,3,1.0,1,0.6666666666666666,1.0
FIFA World Cup 2022,South Korea,4.0,3,1.0,1,1.3333333333333333,1.0
FIFA World Cup 2022,Switzerland,4.0,3,1.0,1,1.3333333333333333,1.0
FIFA World Cup 2022,United States,2.0,3,1.0,1,0.6666666666666666,1.0
FIFA World Cup 2022,Morocco,4.0,3,2.0,4,1.3333333333333333,0.5
FIFA World Cup 2022,Senegal,5.0,3,0.0,1,1.6666666666666667,0.0
FIFA World Cup 2022,Spain,9.0,3,0.0,1,3.0,0.0
UEFA Euro 2012,Germany,5.0,3,5.0,2,1.6666666666666667,2.5
UEFA Euro 2012,Greece,3.0,3,2.0,1,1.0,2.0
UEFA Euro 2012,Spain,6.0,3,6.0,3,2.0,2.0
UEFA Euro 2012,Italy,4.0,3,2.0,3,1.3333333333333333,0.6666666666666666
UEFA Euro 2012,Portugal,5.0,3,1.0,2,1.6666666666666667,0.5
UEFA Euro 2012,Czech Republic,4.0,3,0.0,1,1.3333333333333333,0.0
UEFA Euro 2012,England,5.0,3,0.0,1,1.6666666666666667,0.0
UEFA Euro 2012,France,3.0,3,0.0,1,1.0,0.0
UEFA Euro 2016,Belgium,4.0,3,5.0,2,1.3333333333333333,2.5
UEFA Euro 2016,France,4.0,3,9.0,4,1.3333333333333333,2.25
UEFA Euro 2016,Iceland,4.0,3,4.0,2,1.3333333333333333,2.0
UEFA Euro 2016,Italy,3.0,3,3.0,2,1.0,1.5
UEFA Euro 2016,Germany,3.0,3,4.0,3,1.0,1.3333333333333333
UEFA Euro 2016,Wales,6.0,3,4.0,3,2.0,1.3333333333333333
UEFA Euro 2016,Portugal,4.0,3,5.0,4,1.3333333333333333,1.25
UEFA Euro 2016,England,3.0,3,1.0,1,1.0,1.0
UEFA Euro 2016,Poland,2.0,3,2.0,2,0.6666666666666666,1.0
UEFA Euro 2016,Republic of Ireland,2.0,3,1.0,1,0.6666666666666666,1.0
UEFA Euro 2016,Switzerland,2.0,3,1.0,1,0.6666666666666666,1.0
UEFA Euro 2016,Croatia,5.0,3,0.0,1,1.6666666666666667,0.0
UEFA Euro 2016,Hungary,6.0,3,0.0,1,2.0,0.0
UEFA Euro 2016,Northern Ireland,2.0,3,0.0,1,0.6666666666666666,0.0
UEFA Euro 2016,Slovakia,3.0,3,0.0,1,1.0,0.0
UEFA Euro 2016,Spain,5.0,3,0.0,1,1.6666666666666667,0.0
UEFA Euro 2020,Croatia,4.0,3,3.0,1,1.3333333333333333,3.0
