round,date,match_no,home_slot,away_slot,home_team,away_team,home_resolution_note,away_resolution_note,actual_home_score,actual_away_score,predicted_home_score,predicted_away_score,predicted_outcome,expected_total_goals,home_xg,away_xg,home_win_probability,draw_probability,away_win_probability,home_decimal_odds,draw_decimal_odds,away_decimal_odds,rating_diff,advancing_team,eliminated_team,win_method
Round of 32,2026-06-28,73,Runner-up Group A,Runner-up Group B,South Korea,Bosnia and Herzegovina,projected runner-up of Group A,projected runner-up of Group B,,,2,1,home_win,3.087,1.715,1.372,0.459,0.2554,0.2856,2.18,3.92,3.5,111.44,South Korea,Bosnia and Herzegovina,regulation
Round of 32,2026-06-29,74,Winner Group E,3rd Group A/B/C/D/F,Ivory Coast,Canada,projected winner of Group E,projected best available eligible third-place team from 3rd Group A/B/C/D/F,,,2,1,home_win,2.933,1.655,1.278,0.4724,0.256,0.2715,2.12,3.91,3.68,130.14,Ivory Coast,Canada,regulation
Round of 32,2026-06-29,75,Winner Group F,Runner-up Group C,Japan,Brazil,projected winner of Group F,projected runner-up of Group C,,,2,1,home_win,2.983,1.501,1.482,0.3633,0.2829,0.3538,2.75,3.53,2.83,6.26,Japan,Brazil,regulation
Round of 32,2026-06-29,76,Winner Group C,Runner-up Group F,Morocco,Netherlands,projected winner of Group C,projected runner-up of Group F,,,2,1,home_win,3.149,1.741,1.408,0.4554,0.2546,0.2899,2.2,3.93,3.45,106.11,Morocco,Netherlands,regulation
Round of 32,2026-06-30,77,Winner Group I,3rd Group C/D/F/G/H,France,Cape Verde,projected winner of Group I,projected best available eligible third-place team from 3rd Group C/D/F/G/H,,,2,1,home_win,3.148,1.798,1.35,0.489,0.246,0.2651,2.04,4.07,3.77,143.91,France,Cape Verde,regulation
Round of 32,2026-06-30,78,Runner-up Group E,Runner-up Group I,Germany,Norway,projected runner-up of Group E,projected runner-up of Group I,,,2,1,home_win,3.37,1.709,1.661,0.3769,0.2686,0.3545,2.65,3.72,2.82,14.43,Germany,Norway,regulation
Round of 32,2026-06-30,79,Winner Group A,3rd Group C/E/F/H/I,Mexico,Sweden,projected winner of Group A,projected best available eligible third-place team from 3rd Group C/E/F/H/I,,,2,1,home_win,3.151,1.682,1.469,0.421,0.2634,0.3156,2.38,3.8,3.17,67.67,Mexico,Sweden,regulation
Round of 32,2026-07-01,80,Winner Group L,3rd Group E/H/I/J/K,England,DR Congo,projected winner of Group L,projected best available eligible third-place team from 3rd Group E/H/I/J/K,,,2,1,home_win,2.937,1.593,1.344,0.433,0.2661,0.3009,2.31,3.76,3.32,85.54,England,DR Congo,regulation
Round of 32,2026-07-01,81,Winner Group D,3rd Group B/E/F/I/J,Australia,Ecuador,projected winner of Group D,projected best available eligible third-place team from 3rd Group B/E/F/I/J,,,1,0,home_win,2.744,1.483,1.261,0.4262,0.2731,0.3007,2.35,3.66,3.33,81.98,Australia,Ecuador,regulation
Round of 32,2026-07-01,82,Winner Group G,3rd Group A/E/H/I/J,Belgium,Czech Republic,projected winner of Group G,projected best available eligible third-place team from 3rd Group A/E/H/I/J,,,2,1,home_win,3.244,1.776,1.468,0.4473,0.2542,0.2986,2.24,3.93,3.35,94.96,Belgium,Czech Republic,regulation
