team,recent_rating,weighted_matches,goals_for_rate,goals_against_rate,match_total_rate
Argentina,1743.64,17.888,2.424,0.317,2.741
Morocco,1717.98,27.874,2.064,0.403,2.467
Ivory Coast,1698.17,20.389,1.773,0.536,2.309
France,1687.07,18.439,2.333,0.998,3.331
Germany,1685.68,18.017,3.095,1.058,4.153
England,1684.53,18.547,2.358,0.723,3.081
Mexico,1671.65,25.089,1.578,0.727,2.304
Norway,1671.26,16.476,2.872,0.936,3.808
Austria,1663.4,16.508,2.38,0.754,3.134
Nigeria,1661.0,21.915,1.829,0.881,2.711
Colombia,1657.61,18.224,2.158,0.968,3.126
Spain,1645.79,18.524,2.219,0.706,2.924
Australia,1644.64,17.491,1.699,0.681,2.38
South Korea,1639.76,18.231,1.868,0.962,2.83
Japan,1638.62,16.895,2.266,0.799,3.065
Portugal,1633.93,18.356,2.177,0.921,3.098
Brazil,1632.37,17.642,1.873,1.071,2.945
Algeria,1626.55,24.4,2.011,0.855,2.866
Belgium,1626.46,17.653,2.356,0.876,3.232
Egypt,1612.15,23.53,1.365,0.763,2.128
Netherlands,1611.87,18.259,2.265,1.1,3.366
Iran,1605.56,16.87,2.031,0.949,2.98
Sweden,1603.99,16.833,2.389,1.557,3.947
Italy,1601.84,14.742,1.895,1.093,2.988
DR Congo,1598.99,20.493,1.218,0.634,1.852
Scotland,1598.53,17.197,1.65,1.063,2.713
Russia,1597.05,12.48,2.205,0.558,2.763
Denmark,1589.2,14.835,1.956,0.998,2.954
Senegal,1581.35,22.765,1.93,0.963,2.892
United States,1580.07,22.328,2.04,1.39,3.431
Switzerland,1576.4,17.997,1.855,1.087,2.942
Thailand,1574.81,16.275,2.06,1.105,3.165
Cameroon,1568.98,15.248,1.261,0.74,2.001
Canada,1568.03,19.812,1.324,0.812,2.136
Vietnam,1567.34,11.69,1.908,1.103,3.012
Malaysia,1566.89,11.545,1.869,1.046,2.915
Ecuador,1562.66,17.906,0.972,0.603,1.576
Burkina Faso,1561.75,18.815,1.718,1.1,2.818
Turkey,1561.13,17.734,1.71,1.317,3.027
Guyana,1560.74,9.481,2.194,1.383,3.578
Kosovo,1559.67,13.5,1.707,1.137,2.844
Philippines,1559.46,11.221,2.215,1.343,3.559
Ghana,1552.36,17.014,1.262,1.144,2.406
Republic of Ireland,1551.52,14.665,1.356,1.059,2.415
Uruguay,1549.36,16.472,1.101,0.825,1.926
Mali,1548.53,14.864,1.315,0.705,2.019
Jamaica,1544.81,20.611,1.282,0.993,2.275
Tamil Eelam,1544.76,1.952,3.528,0.404,3.931
Cape Verde,1543.15,17.685,1.143,0.958,2.101
Tajikistan,1541.9,10.912,1.747,1.008,2.755
Ukraine,1541.41,14.494,1.486,1.504,2.989
Isle of Man,1540.51,3.155,4.121,1.375,5.496
Lebanon,1537.69,10.198,1.535,0.821,2.357
Hungary,1534.27,14.504,1.404,1.308,2.711
Syria,1532.97,13.694,1.54,1.169,2.709
Yemen,1532.52,7.092,2.569,1.195,3.764
Czech Republic,1531.5,17.199,1.946,1.271,3.217
Saudi Arabia,1528.79,26.763,1.126,1.072,2.198
Bosnia and Herzegovina,1528.32,16.072,1.305,1.317,2.622
Saint Vincent and the Grenadines,1527.86,11.833,2.148,1.47,3.617
Croatia,1527.6,17.748,1.934,1.517,3.45
Israel,1527.1,11.709,1.596,1.755,3.352
Libya,1526.95,10.487,1.127,0.868,1.995
Ynys Môn,1526.07,1.575,1.579,0.581,2.16
Angola,1525.19,14.832,1.201,0.884,2.085
Poland,1524.6,14.733,1.565,1.4,2.966
New Caledonia,1523.96,4.797,1.917,0.928,2.844
Slovakia,1523.67,14.74,1.452,1.329,2.781
United Arab Emirates,1523.55,15.542,1.421,1.13,2.551
Romania,1522.18,14.752,1.648,1.142,2.79
Honduras,1522.03,15.697,1.298,1.182,2.48
Belarus,1520.38,13.746,1.37,1.633,3.003
Saint Martin,1520.06,6.964,1.887,1.606,3.492
Chile,1519.71,14.053,1.362,1.421,2.782
Madagascar,1519.01,11.443,1.544,1.595,3.139
South Africa,1518.03,20.92,1.252,0.97,2.223
Sint Maarten,1516.99,6.29,1.39,1.94,3.33
Jersey,1515.8,2.233,2.468,1.417,3.885
Togo,1514.13,10.782,1.315,1.154,2.469
Orkney,1513.93,2.495,2.369,1.738,4.107
Venezuela,1513.36,14.031,1.193,1.332,2.525
Basque Country,1512.83,0.902,2.474,0.263,2.737
Panama,1512.09,23.519,1.485,1.321,2.805
Tahiti,1511.33,3.836,1.663,1.267,2.929
Papua New Guinea,1510.93,6.763,1.48,1.634,3.114
Indonesia,1510.64,15.594,1.491,1.261,2.752
Zanzibar,1510.14,1.473,1.003,0.501,1.505
Turkmenistan,1507.62,5.301,1.474,1.367,2.841
Georgia,1507.48,14.416,1.654,1.41,3.063
Guadeloupe,1506.42,6.01,1.728,1.269,2.998
Guinea,1505.64,12.607,1.308,0.946,2.254
Isle of Wight,1505.63,0.521,1.75,1.003,2.754
Raetia,1505.4,0.478,4.116,1.837,5.953
Suriname,1505.01,11.41,1.394,1.118,2.512
Székely Land,1504.96,0.256,5.004,0.998,6.002
Hong Kong,1504.62,14.222,1.684,1.115,2.799
China,1504.43,11.396,0.978,1.248,2.225
Hitra,1504.01,2.104,3.252,2.493,5.745
Guernsey,1503.97,0.521,1.749,0.75,2.499
Vanuatu,1503.85,7.886,1.481,1.929,3.41
Slovenia,1503.41,14.94,1.071,1.119,2.189
Iraq,1502.78,21.548,1.155,1.317,2.472
Kernow,1502.09,0.132,2.0,1.0,3.0
Elba Island,1501.53,0.066,5.0,0.0,5.0
Mapuche,1501.36,0.062,3.0,1.0,4.0
Maule Sur,1501.18,0.062,1.0,0.0,1.0
Chameria,1500.77,0.256,2.5,1.999,4.5
Saint Barthélemy,1500.71,0.205,3.491,2.006,5.497
Réunion,1500.31,0.573,0.751,0.752,1.502
Tuvalu,1500.06,0.674,2.019,2.484,4.503
West Papua,1499.99,0.083,1.0,1.0,2.0
Mayotte,1499.95,0.284,0.0,0.0,0.0
Greece,1499.71,13.744,1.543,1.131,2.674
Costa Rica,1498.72,17.829,1.733,1.592,3.324
Faroe Islands,1498.5,12.89,1.003,1.058,2.061
Shetland,1498.33,2.1,1.75,1.628,3.378
Kenya,1498.12,12.202,1.28,1.462,2.742
Northern Ireland,1497.91,13.579,1.109,1.271,2.38
Sápmi,1497.91,0.132,1.0,2.0,3.0
Cambodia,1497.9,8.731,1.651,1.332,2.983
Aymara,1497.47,0.125,0.5,1.999,2.499
Puerto Rico,1496.92,9.812,1.772,1.68,3.452
Haiti,1496.62,16.724,1.726,1.095,2.821
Wales,1496.58,13.826,1.545,1.272,2.816
Uzbekistan,1496.43,17.838,1.305,1.18,2.486
